servo_id,joint,bus_id_candidate,bus_id_measured,direction_sign,zero_offset_counts,mechanical_min_counts,mechanical_max_counts,soft_lower_rad,soft_upper_rad,serial_number,measured_mass_g,mount_pitch_x_mm,mount_pitch_y_mm,status,notes
S01,right_shoulder_pitch,22,,,,,,-0.471238890,0.471238890,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S02,left_shoulder_pitch,12,,,,,,-0.471238890,0.471238890,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S03,right_shoulder_yaw,21,,,,,,-0.120000000,0.120000000,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S04,right_hip_pitch,43,,,,,,-0.412327408,0.027495556,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S05,left_hip_pitch,33,,,,,,-0.027495556,0.412327408,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S06,left_shoulder_yaw,11,,,,,,-0.120000000,0.120000000,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S07,right_hip_yaw,41,,,,,,-0.026179939,0.322013241,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S08,left_hip_yaw,31,,,,,,-0.322013241,0.026179939,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S09,right_elbow_yaw,23,,,,,,-0.240000000,0.340000000,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S10,left_elbow_yaw,13,,,,,,-0.340000000,0.240000000,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S11,right_hip_roll,42,,,,,,-0.220000000,0.060000000,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S12,left_hip_roll,32,,,,,,-0.060000000,0.220000000,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S13,right_knee_pitch,44,,,,,,0.000000000,0.832859280,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S14,left_knee_pitch,34,,,,,,-0.832859280,0.000000000,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S15,right_ankle_pitch,45,,,,,,0.000000000,0.664159280,,,,,REQUIRES_PHYSICAL_CALIBRATION,
S16,left_ankle_pitch,35,,,,,,-0.664159280,0.000000000,,,,,REQUIRES_PHYSICAL_CALIBRATION,
