id,joint,scanned_bus_id,neutral_count,direction_sign,min_safe_count,max_safe_count,measured_backlash_rad,measured_latency_s,torque_gain_scale,technician,date,status,notes
S01,right_shoulder_pitch,,,,,,,,,,,UNMEASURED,
S02,left_shoulder_pitch,,,,,,,,,,,UNMEASURED,
S03,right_shoulder_yaw,,,,,,,,,,,UNMEASURED,
S04,right_hip_pitch,,,,,,,,,,,UNMEASURED,
S05,left_hip_pitch,,,,,,,,,,,UNMEASURED,
S06,left_shoulder_yaw,,,,,,,,,,,UNMEASURED,
S07,right_hip_yaw,,,,,,,,,,,UNMEASURED,
S08,left_hip_yaw,,,,,,,,,,,UNMEASURED,
S09,right_elbow_yaw,,,,,,,,,,,UNMEASURED,
S10,left_elbow_yaw,,,,,,,,,,,UNMEASURED,
S11,right_hip_roll,,,,,,,,,,,UNMEASURED,
S12,left_hip_roll,,,,,,,,,,,UNMEASURED,
S13,right_knee_pitch,,,,,,,,,,,UNMEASURED,
S14,left_knee_pitch,,,,,,,,,,,UNMEASURED,
S15,right_ankle_pitch,,,,,,,,,,,UNMEASURED,
S16,left_ankle_pitch,,,,,,,,,,,UNMEASURED,
