joint,servo_model,candidate_bus_id,confirmed_bus_id,nominal_zero_count,measured_zero_count,zero_offset_counts,urdf_to_servo_direction_sign,measured_hardstop_lower_count,measured_hardstop_upper_count,backlash_counts,no_load_current_a,notes
right_shoulder_pitch,STS3250,21,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
left_shoulder_pitch,STS3250,11,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
right_shoulder_yaw,STS3250,22,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
right_hip_pitch,STS3250,43,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
left_hip_pitch,STS3250,33,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
left_shoulder_yaw,STS3250,12,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
right_hip_yaw,STS3250,41,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
left_hip_yaw,STS3250,31,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
right_elbow_yaw,STS3250,23,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
left_elbow_yaw,STS3250,13,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
right_hip_roll,STS3250,42,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
left_hip_roll,STS3250,32,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
right_knee_pitch,STS3250,44,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
left_knee_pitch,STS3250,34,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
right_ankle_pitch,STS3250,45,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
left_ankle_pitch,STS3250,35,,2048,,,,,,,,REQUIRED_BEFORE_HARDWARE_DEPLOYMENT
