source_step,native_part,method,load_error,save_code,bytes,extent_x_mm,extent_y_mm,extent_z_mm,seconds,status,role
generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_CHEST_FRONT.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_CHEST_FRONT.SLDPRT,reuse_current_native_SLDPRT,0,0,203030,178.000000,37.825000,130.000000,1.046,PASS,round_v1_printed_overlay
generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_CHEST_BACK.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_CHEST_BACK.SLDPRT,reuse_current_native_SLDPRT,0,0,195043,178.000000,37.825000,130.000000,1.044,PASS,round_v1_printed_overlay
generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_HEAD_FRONT.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_HEAD_FRONT.SLDPRT,reuse_current_native_SLDPRT,0,0,344458,156.794867,60.086056,120.000000,1.018,PASS,round_v3_poppy_eva_derived_printed_overlay
generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_HEAD_BACK.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_HEAD_BACK.SLDPRT,reuse_current_native_SLDPRT,0,0,331550,160.048831,62.108282,120.000000,1.064,PASS,round_v3_poppy_eva_derived_printed_overlay
generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_PELVIS_FRONT.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_PELVIS_FRONT.SLDPRT,reuse_current_native_SLDPRT,0,0,274888,106.377240,33.825000,62.000000,1.053,PASS,round_v1_printed_overlay
generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_PELVIS_BACK.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_PELVIS_BACK.SLDPRT,reuse_current_native_SLDPRT,0,0,236536,108.000000,33.825000,62.000000,1.037,PASS,round_v1_printed_overlay
generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_FACE_UI.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_FACE_UI.SLDPRT,reuse_current_native_SLDPRT,0,0,266210,64.000000,1.270171,23.000000,1.048,PASS,nonphysical_screen_ui_reference
generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_VISOR.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_VISOR.SLDPRT,reuse_current_native_SLDPRT,0,0,58479,120.000000,4.000000,78.000000,1.064,PASS,round_v3_continuous_black_screen_overlay
generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_CAMERA_SENSOR_WINDOWS.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_CAMERA_SENSOR_WINDOWS.SLDPRT,reuse_current_native_SLDPRT,0,0,100981,34.500000,2.750000,9.000000,1.083,PASS,sensor_window_visual
generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_TORSO_SPINE.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_TORSO_SPINE.SLDPRT,reuse_current_native_SLDPRT,0,0,194190,144.000000,16.000000,196.000000,1.044,PASS,internal_parent_frame_structure
generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_WAVESHARE_4_3_DSI_DISPLAY.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_WAVESHARE_4_3_DSI_DISPLAY.SLDPRT,reuse_current_native_SLDPRT,0,0,95940,105.500000,8.000000,67.200000,1.038,PASS,selected_vendor_head_display_controlled_envelope
generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_CAMERA_MODULE.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_CAMERA_MODULE.SLDPRT,reuse_current_native_SLDPRT,0,0,116553,25.000000,11.400000,23.862000,1.034,PASS,selected_vendor_camera_measured_envelope
generated/cad/round_v1/parts/ZEROTH01_ROUND_V2_TOF_MODULE.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V2_TOF_MODULE.SLDPRT,reuse_current_native_SLDPRT,0,0,120997,12.000000,3.000000,10.000000,1.066,PASS,selected_sensor_assumed_carrier_envelope
generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_IMU_MODULE.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_IMU_MODULE.SLDPRT,reuse_current_native_SLDPRT,0,0,99658,32.000000,25.000000,8.000000,1.073,PASS,assumed_rl_electronics_envelope
generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_COMPUTE_MODULE.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_COMPUTE_MODULE.SLDPRT,reuse_current_native_SLDPRT,0,0,107997,105.000000,20.000000,70.000000,1.063,PASS,assumed_rl_electronics_envelope
generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_BATTERY_PACK.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V1_BATTERY_PACK.SLDPRT,reuse_current_native_SLDPRT,0,0,116708,75.000000,38.000000,38.000000,1.042,PASS,assumed_rl_electronics_envelope
generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_RIGHT_UPPER_ARM_SLEEVE.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_RIGHT_UPPER_ARM_SLEEVE.SLDPRT,reuse_current_native_SLDPRT,0,0,173171,70.000000,42.540572,57.000000,1.084,PASS,round_v3_printed_arm_overlay
generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_LEFT_UPPER_ARM_SLEEVE.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_LEFT_UPPER_ARM_SLEEVE.SLDPRT,reuse_current_native_SLDPRT,0,0,173720,70.000000,42.540572,57.000000,1.073,PASS,round_v3_printed_arm_overlay
generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_RIGHT_FOREARM_SLEEVE.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_RIGHT_FOREARM_SLEEVE.SLDPRT,reuse_current_native_SLDPRT,0,0,152201,46.000000,47.908902,60.000000,1.083,PASS,round_v3_printed_arm_overlay
generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_LEFT_FOREARM_SLEEVE.step,generated/solidworks/portable_flat_round_v3/ZEROTH01_ROUND_V3_LEFT_FOREARM_SLEEVE.SLDPRT,reuse_current_native_SLDPRT,0,0,152173,46.000000,47.908902,60.000000,1.078,PASS,round_v3_printed_arm_overlay
