joint,servo_model,parent_link,child_link,shaft_origin_xyz_parent_m,shaft_origin_rpy_parent_rad,positive_axis_joint_frame,neutral_shaft_xyz_world_m,neutral_positive_axis_world,guarded_lower_rad,guarded_upper_rad,candidate_bus_id,candidate_bus_id_confidence,nominal_zero_count,counts_per_revolution,urdf_to_servo_direction_sign,hardware_zero_offset_counts,spatial_semantics,source
right_shoulder_pitch,Feetech_STS3250,Torso,shoulder_yaw_right,-0.078136464 -0.000335556 0.043053290,1.570796300 0.000000000 1.570796300,0.000000000 0.000000000 1.000000000,-0.078136464 -0.000335556 0.043053290,1.000000000 -0.000000027 0.000000027,-0.471238890,0.471238890,21,derived_kscale_family_chain_order_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
left_shoulder_pitch,Feetech_STS3250,Torso,shoulder_yaw_left,0.078163541 -0.000335556 0.043053290,-1.570796307 0.000000000 1.570796300,0.000000000 0.000000000 1.000000000,0.078163541 -0.000335556 0.043053290,-1.000000000 0.000000027 0.000000020,-0.471238890,0.471238890,11,derived_kscale_family_chain_order_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
right_shoulder_yaw,Feetech_STS3250,shoulder_yaw_right,right_shoulder_yaw_motor,-0.018825000 -0.016299210 -0.030000000,3.141592700 -1.570796300 0.000000000,0.000000000 0.000000000 -1.000000000,-0.108136464 -0.019160555 0.026754079,0.000000000 -1.000000000 -0.000000046,-0.471238890,0.141371667,22,derived_kscale_family_chain_order_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
right_hip_pitch,Feetech_STS3250,Torso,hip_yaw_right,-0.045636463 -0.000335555 -0.096946715,-1.570796354 -0.000000046 1.570796300,0.000000000 0.000000000 -1.000000000,-0.045636463 -0.000335555 -0.096946715,1.000000000 -0.000000027 0.000000027,-0.412327408,0.027495556,43,official_archived_zbot_5dof_leg_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
left_hip_pitch,Feetech_STS3250,Torso,hip_yaw_left,0.045663540 -0.000335555 -0.096946715,1.570796354 -0.000000046 1.570796300,0.000000000 0.000000000 -1.000000000,0.045663540 -0.000335555 -0.096946715,-1.000000000 0.000000027 0.000000027,-0.027495556,0.412327408,33,official_archived_zbot_5dof_leg_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
left_shoulder_yaw,Feetech_STS3250,shoulder_yaw_left,left_shoulder_yaw_motor,-0.018825000 0.016299210 -0.030000000,3.141592700 1.570796300 0.000000000,0.000000000 0.000000000 1.000000000,0.108163540 -0.019160557 0.026754079,-0.000000000 -1.000000000 -0.000000046,-0.141371667,0.471238890,12,derived_kscale_family_chain_order_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
right_hip_yaw,Feetech_STS3250,hip_yaw_right,hip_roll_right,-0.025500002 0.002500001 0.019360000,0.000000093 1.570796300 0.000000000,0.000000000 0.000000000 1.000000000,-0.064996464 -0.025835556 -0.099446718,-0.000000000 1.000000000 0.000000139,-0.026179939,0.322013241,41,official_archived_zbot_5dof_leg_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
left_hip_yaw,Feetech_STS3250,hip_yaw_left,hip_roll_left,-0.025500003 -0.002500001 0.019360000,-3.141592607 -1.570796300 0.000000000,0.000000000 0.000000000 1.000000000,0.065023539 -0.025835558 -0.099446718,0.000000000 1.000000000 0.000000093,-0.322013241,0.026179939,31,official_archived_zbot_5dof_leg_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
right_elbow_yaw,Feetech_STS3250,right_shoulder_yaw_motor,Left_Hand,-0.030003116 0.064341893 0.000250001,0.000000088 -0.000000020 0.436332310,0.000000000 0.000000000 1.000000000,-0.138139578 -0.018910551 -0.037587814,0.000000020 1.000000000 0.000000135,-0.293215320,0.366519150,23,derived_kscale_family_chain_order_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
left_elbow_yaw,Feetech_STS3250,left_shoulder_yaw_motor,hand_right,0.030003117 -0.064341892 -0.000250001,-3.141592607 -0.000000000 0.436332310,0.000000000 0.000000000 1.000000000,0.138166656 -0.018910553 -0.037587813,-0.000000020 1.000000000 0.000000088,-0.366519150,0.293215320,13,derived_kscale_family_chain_order_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
right_hip_roll,Feetech_STS3250,hip_roll_right,knee_pitch_right,0.000000000 0.067760014 0.015000001,1.570796400 0.000000000 0.000000000,0.000000000 0.000000000 1.000000000,-0.064996462 -0.010835545 -0.167206730,-0.000000027 -0.000000212 1.000000000,-0.235619448,0.235619448,42,official_archived_zbot_5dof_leg_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
left_hip_roll,Feetech_STS3250,hip_roll_left,knee_pitch_right_2,0.000000000 0.067760012 0.014999999,1.570796300 0.000000000 0.000000000,0.000000000 0.000000000 1.000000000,0.065023537 -0.010835553 -0.167206729,0.000000027 -0.000000066 1.000000000,-0.235619448,0.235619448,32,official_archived_zbot_5dof_leg_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
right_knee_pitch,Feetech_STS3250,knee_pitch_right,ankle_pitch_right,0.018825012 -0.000000001 -0.042210002,-1.570796300 0.000000000 1.570796300,0.000000000 0.000000000 1.000000000,-0.046171448 -0.010835537 -0.209416731,-1.000000000 0.000000027 0.000000000,0.000000000,0.832859280,44,official_archived_zbot_5dof_leg_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
left_knee_pitch,Feetech_STS3250,knee_pitch_right_2,ankle_pitch_left,-0.018775014 0.000000001 -0.045960002,-1.570796307 0.000000000 1.570796300,0.000000000 0.000000000 -1.000000000,0.046248522 -0.010835549 -0.213166730,1.000000000 -0.000000027 -0.000000046,-0.832859280,0.000000000,34,official_archived_zbot_5dof_leg_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
right_ankle_pitch,Feetech_STS3250,ankle_pitch_right,foot_right,0.000000000 0.060220001 -0.000000013,-3.141592607 0.000000000 0.000000000,0.000000000 0.000000000 -1.000000000,-0.046171435 -0.010835525 -0.269636732,-1.000000000 0.000000027 0.000000046,0.000000000,0.664159280,45,official_archived_zbot_5dof_leg_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
left_ankle_pitch,Feetech_STS3250,ankle_pitch_left,foot_left,0.000000001 0.056470000 -0.000450004,-3.141592607 0.000000000 -0.000000093,0.000000000 0.000000000 1.000000000,0.046698523 -0.010835544 -0.269636730,1.000000000 -0.000000027 -0.000000093,-0.664159280,0.000000000,35,official_archived_zbot_5dof_leg_requires_bus_scan,2048,4096,REQUIRES_JOG_CALIBRATION,REQUIRES_PHYSICAL_CALIBRATION,URDF joint frame equals output-shaft frame; servo housing center is not separately recoverable from the aggregate STL,official_urdf_frame
