link,mass_kg,com_xyz_link_m,ixx_kg_m2,ixy_kg_m2,ixz_kg_m2,iyy_kg_m2,iyz_kg_m2,izz_kg_m2,principal_moments_kg_m2,positive_definite,triangle_inequality,source,scope,mesh_watertight,status
base,0.001000000000,0.000000000 0.000000000 0.000000000,0.0001,0,0,0.0001,0,0.0001,0.000100000 0.000100000 0.000100000,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,not_applicable,PASS
Torso,1.569753931200,0.000637998 0.003712589 -0.001803955,0.00560609309751,5.45594198263e-06,-8.67830381439e-05,0.00733107648319,0.000346336378979,0.00255525864868,0.002527817 0.005608549 0.007356062,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
shoulder_yaw_right,0.040362728000,-0.000376010 -0.003656648 -0.017432914,1.0226821e-05,0,0,2.2303144e-05,-1.8359103e-06,2.1988958e-05,0.000010227 0.000020303 0.000023989,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
shoulder_yaw_left,0.040363129000,-0.000375909 0.003656521 -0.017432695,1.0227007e-05,0,0,2.2303258e-05,1.8360421e-06,2.1989069e-05,0.000010227 0.000020303 0.000023989,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
right_shoulder_yaw_motor,0.171459881000,-0.014954780 0.032070580 0.018101511,0.000132623253074,4.28814918739e-05,1.83014800285e-07,6.07241170021e-05,-3.92379148323e-07,0.000138756148029,0.000040715 0.000138758 0.000152631,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
hip_yaw_right,0.103195771000,-0.007775213 -0.010188892 0.015272496,4.31857520523e-05,-2.91289458886e-08,-6.96211329136e-08,3.62308835709e-05,3.24878368404e-06,3.84080500733e-05,0.000033893 0.000040744 0.000043188,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
hip_yaw_left,0.103201904000,-0.007776157 0.010188687 0.015271761,4.31868121602e-05,2.95581336036e-08,-7.06679736308e-08,3.62334615339e-05,-3.24904358679e-06,3.84097113363e-05,0.000033895 0.000040746 0.000043189,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
left_shoulder_yaw_motor,0.171459652000,0.014954756 -0.032070583 -0.018101541,0.000132629902266,4.2373954399e-05,1.83009604712e-07,6.07173164974e-05,-3.92379876907e-07,0.000138756146055,0.000041098 0.000138758 0.000152247,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
hip_roll_right,0.111293388000,0.000052211 0.042718345 0.027962543,6.57187282381e-05,8.21258299585e-08,-2.24711460721e-08,3.61181090144e-05,-3.45188873606e-06,4.53956750034e-05,0.000034975 0.000046539 0.000065719,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
hip_roll_left,0.111293526000,-0.000052213 0.042718359 0.027962566,6.57188562872e-05,-8.21263104132e-08,2.24716794149e-08,3.61182182287e-05,-3.45196197812e-06,4.53957018625e-05,0.000034975 0.000046539 0.000065719,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
Left_Hand,0.075184887000,0.001118495 0.046132358 0.018254412,5.6585944e-05,-2.4063655e-06,0,1.4864722e-05,0,4.710315e-05,0.000014726 0.000047103 0.000056724,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
hand_right,0.075183656000,-0.001118572 0.046132566 0.018254616,5.6585045e-05,2.4062028e-06,0,1.4864063e-05,0,4.7102936e-05,0.000014726 0.000047103 0.000056723,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
knee_pitch_right,0.110612413000,0.000718952 -0.002374664 -0.021913106,6.25645510791e-05,-1.72028578138e-07,6.75659573032e-07,6.84830015438e-05,6.99410902432e-06,2.72729744589e-05,0.000026105 0.000062577 0.000069638,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
knee_pitch_right_2,0.110612413000,-0.000643821 -0.002374664 -0.024438821,6.81135836976e-05,1.85630717176e-07,-8.24865695945e-07,7.40358270359e-05,7.65698212457e-06,2.72767672794e-05,0.000026038 0.000068130 0.000075258,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
ankle_pitch_right,0.109625116000,-0.000000529 0.040922397 0.017864164,5.75136632676e-05,2.78168164749e-09,-2.53582906253e-11,2.78643569686e-05,1.46715938591e-07,4.60131505606e-05,0.000027863 0.000046014 0.000057514,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
ankle_pitch_left,0.109625115000,0.000002152 0.038373941 -0.019578998,5.33241948676e-05,3.02608084039e-10,-3.11971958328e-11,2.79878360765e-05,1.21260900446e-06,4.17002009067e-05,0.000027881 0.000041807 0.000053324,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
foot_right,0.040622158000,-0.007782273 -0.016191375 -0.017831949,1.3644671e-05,-1.0762297e-06,0,3.7817973e-05,0,2.8893973e-05,0.000013597 0.000028894 0.000037866,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
foot_left,0.040622160000,-0.007782274 -0.016191375 0.017831950,1.3644672e-05,-1.0762295e-06,0,3.7817974e-05,0,2.8893973e-05,0.000013597 0.000028894 0.000037866,true,true,official_zeroth_sim_urdf,aggregate_link_including_servo_and_structure,false,PASS
