link,mesh,triangles,bbox_center_file_m,inertial_com_link_m,inertial_com_world_m,current_render_bbox_center_world_m,bbox_center_to_local_com_m,bbox_center_to_world_com_m,inertial_com_inside_mesh_bbox,closer_frame
Torso,Torso.stl,19078,0.000013538 0.006108531 0.009570796,0.000637998 0.003712589 -0.001803955,0.000637998 0.003712589 -0.001803955,0.000013538 0.006108531 0.009570796,0.011641110230929941,0.011641110230929941,True,WORLD_BAKED
shoulder_yaw_right,shoulder_yaw_right.stl,2436,0.000100000 -0.007138733 -0.021118175,-0.000376010 -0.003656648 -0.017432914,-0.095569378 -0.000711565 0.039396642,-0.099254638 -0.000235556 0.035914557,0.00509241105560083,0.1133842198883741,True,LINK_LOCAL
shoulder_yaw_left,shoulder_yaw_left.stl,2415,0.000100000 0.007138733 -0.021091228,-0.000375909 0.003656521 -0.017432695,0.095596236 -0.000711466 0.039396769,0.099254769 -0.000235557 0.035914557,0.005073180023239786,0.11331352286431924,True,LINK_LOCAL
right_shoulder_yaw_motor,right_shoulder_yaw_motor.stl,5611,-0.015016392 0.032150318 0.019700007,-0.014954780 0.032070580 0.018101511,-0.123091243 -0.001059042 -0.005316500,-0.123152855 0.000539454 -0.005396238,0.0016016692109250069,0.11579663474236582,True,LINK_LOCAL
hip_yaw_right,hip_yaw_right.stl,3964,-0.005783329 -0.010249997 -0.003565000,-0.007775213 -0.010188892 0.015272496,-0.060908959 -0.008110768 -0.086757824,-0.042071463 -0.006118885 -0.086696718,0.018942613114833286,0.09982212849678536,True,LINK_LOCAL
hip_yaw_left,hip_yaw_left.stl,3979,-0.005783329 0.010249997 -0.003565000,-0.007776157 0.010188687 0.015271761,0.060935301 -0.008111713 -0.086758029,0.042098539 -0.006118885 -0.086696718,0.018941982307565997,0.10821094193047645,True,LINK_LOCAL
left_shoulder_yaw_motor,left_shoulder_yaw_motor.stl,5724,0.015011078 -0.032181207 -0.019700007,0.014954756 -0.032070583 -0.018101541,0.123118295 -0.001059015 -0.005316503,0.123174617 0.000539452 -0.005427127,0.0016032798726201068,0.1134136075841245,True,LINK_LOCAL
hip_roll_right,hip_roll_right.stl,4140,-0.000000001 0.027167958 0.024055000,0.000052211 0.042718345 0.027962543,-0.064944251 0.002126993 -0.142165060,-0.064996464 -0.001780552 -0.126614673,0.016033907063627395,0.18020519949495872,True,LINK_LOCAL
hip_roll_left,hip_roll_left.stl,4191,0.000000001 0.027167958 0.024055000,-0.000052213 0.042718359 0.027962566,0.064971325 0.002127011 -0.142165075,0.065023539 -0.001780556 -0.126614674,0.016033925789069658,0.1802149695056746,True,LINK_LOCAL
Left_Hand,left_hand.stl,1632,-0.000002624 0.039891315 0.018399999,0.001118495 0.046132358 0.018254412,-0.156622253 -0.000656133 -0.079870624,-0.155000753 -0.000510547 -0.073740512,0.006342611947174965,0.18929056689187393,True,LINK_LOCAL
hand_right,hand_right.stl,1628,0.000002736 0.039887344 0.018399999,-0.001118572 0.046132566 0.018254616,0.156649349 -0.000655932 -0.079870844,0.155026254 -0.000510550 -0.073736865,0.006346752790421249,0.189312115544904,True,LINK_LOCAL
knee_pitch_right,knee_pitch_right.stl,4298,-0.000375006 -0.001875000 -0.005135002,0.000718952 -0.002374664 -0.021913106,-0.064277509 -0.013210205 -0.189119837,-0.065371468 -0.012710544 -0.172341732,0.016821153718360154,0.19509596728652923,True,LINK_LOCAL
knee_pitch_right_2,knee_pitch_right_2.stl,4234,-0.000375006 -0.001875000 -0.007010002,-0.000643821 -0.002374664 -0.024438821,0.064379716 -0.013210216 -0.191645550,0.064648531 -0.012710553 -0.174216731,0.01743805253766005,0.1959896603720222,True,LINK_LOCAL
ankle_pitch_right,ankle_pitch_right.stl,4197,0.000000000 0.027804033 0.019025000,-0.000000529 0.040922397 0.017864164,-0.064035612 -0.010836057 -0.250339128,-0.065196449 -0.010835531 -0.237220764,0.013169624757337026,0.27955437727623955,True,LINK_LOCAL
ankle_pitch_left,ankle_pitch_left.stl,4246,0.000000000 0.025929035 -0.019025000,0.000002152 0.038373941 -0.019578998,0.065827518 -0.010833395 -0.251540672,0.065273521 -0.010835548 -0.239095766,0.01245723134364169,0.24443460496984107,True,LINK_LOCAL
foot_right,foot_right.stl,1578,-0.010000000 -0.003680001 -0.019025002,-0.007782273 -0.016191375 -0.017831949,-0.064003385 -0.018617794 -0.285828108,-0.065196438 -0.020835523 -0.273316734,0.01276229517379008,0.2726231842689132,True,LINK_LOCAL
foot_left,foot_left.stl,1474,-0.010000000 -0.003680001 0.019025002,-0.007782274 -0.016191375 0.017831950,0.064530471 -0.018617816 -0.285828108,0.065723525 -0.020835544 -0.273316734,0.01276229497604442,0.3141868047709478,True,LINK_LOCAL
