item,nominal_value,measured_value,unit,tolerance_or_acceptance,status,notes
sts3250_case_length,45.22,,mm,record actual,PENDING,
sts3250_case_width,24.72,,mm,record actual,PENDING,
sts3250_case_body_depth,35.00,,mm,record actual,PENDING,
sts3250_overall_dual_axis_depth,36.50,,mm,record actual,PENDING,
sts3250_shaft_offset_short_end,12.50,,mm,record actual,PENDING,
sts3250_mount_pitch_x,36.80,,mm,verify drawing-derived value,PENDING,
sts3250_mount_pitch_y,20.50,,mm,verify drawing-derived value,PENDING,
sts3250_m2_thread_depth,,,mm,record actual,PENDING,
sts3250_front_spline,25T_OD5.9,,text,horn slides fully without forcing,PENDING,
sts3250_rear_axis_diameter,6.05,,mm,record actual,PENDING,
gauge_outer_length,49.22,,mm,within printer capability,PENDING,
gauge_outer_width,28.72,,mm,within printer capability,PENDING,
gauge_thickness,3.00,,mm,within printer capability,PENDING,
four_m2_screws_start_by_hand,,,boolean,all four true before tightening,PENDING,
shoulder_module_full_guarded_sweep,,,boolean,no hard contact or cable pinch,PENDING,
hip_module_full_guarded_sweep,,,boolean,no hard contact or cable pinch,PENDING,
