id,joint,source_joint,owning_link,source_mesh,region_id,chain_role,output_mesh,source_region_triangles,source_region_points,bounds_m,center_m_in_owning_link,size_mm,family_envelope_gate,source_sha256,output_sha256,mounting_semantics
S01,right_shoulder_pitch,right_shoulder_pitch,3215_1Flange_2,3215_1Flange_2.stl,1,proximal servo body carried by the shoulder-pitch child link,generated/cad/physical_mount_v1/servos/S01_right_shoulder_pitch_INSTALLED_STS3215_FAMILY.stl,4056,2014,"[-0.010111286, 0.035111472, -0.012361288, 0.012361288, -0.03739972, -0.0]","[0.012500093, 0.0, -0.01869986]","[45.222758, 24.722576, 37.39972]",PASS,0ab617ab3f45d9369d6bf63d7de428ae3fc392e7e14d9ae3c241590714a355dd,78b50e09ef4d09e21b0e62a67bb3fff62f34ca144fa18deeacbfd20bb671a51c,EXTRACTED_IN_PLACE_FROM_ORIGINAL_ASSEMBLED_ZEROTH_LINK; NO_TRANSLATION_OR_HOUSING_PHASE_ADDED
S02,left_shoulder_pitch,left_shoulder_pitch,3215_1Flange,3215_1Flange.stl,1,proximal servo body carried by the shoulder-pitch child link,generated/cad/physical_mount_v1/servos/S02_left_shoulder_pitch_INSTALLED_STS3215_FAMILY.stl,4052,2012,"[-0.010111286, 0.035111472, -0.012361288, 0.012361288, -0.03739972, -0.0]","[0.012500093, 0.0, -0.01869986]","[45.222758, 24.722576, 37.39972]",PASS,7b6b03b4047961576d2edb3702af5d8cd9e817182e6687919ddffd985f004567,11249af4c1173258a2e73d7de6f89a3e6d56db475396ad9bb80532736b9eb36d,EXTRACTED_IN_PLACE_FROM_ORIGINAL_ASSEMBLED_ZEROTH_LINK; NO_TRANSLATION_OR_HOUSING_PHASE_ADDED
S03,right_shoulder_yaw,right_shoulder_yaw,Z_BOT2_MASTER_BODY_SKELETON,Z_BOT2_MASTER_BODY_SKELETON.stl,11,torso-fixed shoulder-yaw servo body,generated/cad/physical_mount_v1/servos/S03_right_shoulder_yaw_INSTALLED_STS3215_FAMILY.stl,994,452,"[-0.066000246, -0.020883502, -0.00960999, 0.027789729, -0.0218891, 0.005981851]","[-0.043441874, 0.009089869, -0.007953624]","[45.116743, 37.399719, 27.870951]",PASS,405959cb8cbab7b8a7d42a44a5e68dc0232388d579ac5c770beb290b418c59cb,47bfd4aac4bf6f803303c85982d5e212da42a959aa238f320c9ac0489e48b508,EXTRACTED_IN_PLACE_FROM_ORIGINAL_ASSEMBLED_ZEROTH_LINK; NO_TRANSLATION_OR_HOUSING_PHASE_ADDED
S04,right_hip_pitch,right_hip_pitch,3215_BothFlange_10,3215_BothFlange_10.stl,1,hip-pitch servo body carried by the hip-pitch child link,generated/cad/physical_mount_v1/servos/S04_right_hip_pitch_INSTALLED_STS3215_FAMILY.stl,7572,3764,"[-0.010111286, 0.035111431, -0.012361288, 0.012361288, -0.03739972, -0.0]","[0.012500072, 0.0, -0.01869986]","[45.222717, 24.722576, 37.39972]",PASS,ec6b1764b7aa9daa277edd69279e3251ce28201b4329a6fd58f642802d73e8c7,9264993aff08cd444a44d349b0aa0ba40dd79cedba3e2bbfbca6394084f879ca,EXTRACTED_IN_PLACE_FROM_ORIGINAL_ASSEMBLED_ZEROTH_LINK; NO_TRANSLATION_OR_HOUSING_PHASE_ADDED
S05,left_hip_pitch,left_hip_pitch,3215_BothFlange_9,3215_BothFlange_9.stl,1,hip-pitch servo body carried by the hip-pitch child link,generated/cad/physical_mount_v1/servos/S05_left_hip_pitch_INSTALLED_STS3215_FAMILY.stl,7590,3773,"[-0.010111286, 0.035111472, -0.012361288, 0.012361288, -0.03739972, -0.0]","[0.012500093, 0.0, -0.01869986]","[45.222758, 24.722576, 37.39972]",PASS,2cccf4fd8e69476260e6aceb891d6e17f22b21e0c0f358ef58961b1fe9120862,6651fbc8521724ae1c0ec328c2607fec36762b6bfcd4bbbcf51f68ffe7c03c0b,EXTRACTED_IN_PLACE_FROM_ORIGINAL_ASSEMBLED_ZEROTH_LINK; NO_TRANSLATION_OR_HOUSING_PHASE_ADDED
S06,left_shoulder_yaw,left_shoulder_yaw,Z_BOT2_MASTER_BODY_SKELETON,Z_BOT2_MASTER_BODY_SKELETON.stl,17,torso-fixed shoulder-yaw servo body,generated/cad/physical_mount_v1/servos/S06_left_shoulder_yaw_INSTALLED_STS3215_FAMILY.stl,984,447,"[0.020883737, 0.066000298, -0.009609988, 0.027664732, -0.0218891, 0.005981851]","[0.043442017, 0.009027372, -0.007953624]","[45.116561, 37.27472, 27.870951]",PASS,405959cb8cbab7b8a7d42a44a5e68dc0232388d579ac5c770beb290b418c59cb,155d1588f20a34d93d59f8c23b0296f217b2a419096439e9824a13dafa301f92,EXTRACTED_IN_PLACE_FROM_ORIGINAL_ASSEMBLED_ZEROTH_LINK; NO_TRANSLATION_OR_HOUSING_PHASE_ADDED
S07,right_hip_yaw,right_hip_yaw,Z_BOT2_MASTER_BODY_SKELETON,Z_BOT2_MASTER_BODY_SKELETON.stl,5,torso-fixed hip-yaw servo body,generated/cad/physical_mount_v1/servos/S07_right_hip_yaw_INSTALLED_STS3215_FAMILY.stl,774,365,"[-0.052873407, -0.007756663, -0.004626211, 0.020096365, -0.121693149, -0.084418431]","[-0.030315035, 0.007735077, -0.10305579]","[45.116743, 24.722576, 37.274718]",PASS,405959cb8cbab7b8a7d42a44a5e68dc0232388d579ac5c770beb290b418c59cb,00ad02586dbe94c8537503476a1598542f14bbcd58332c8cb198040e1073597f,EXTRACTED_IN_PLACE_FROM_ORIGINAL_ASSEMBLED_ZEROTH_LINK; NO_TRANSLATION_OR_HOUSING_PHASE_ADDED
S08,left_hip_yaw,left_hip_yaw,Z_BOT2_MASTER_BODY_SKELETON,Z_BOT2_MASTER_BODY_SKELETON.stl,6,torso-fixed hip-yaw servo body,generated/cad/physical_mount_v1/servos/S08_left_hip_yaw_INSTALLED_STS3215_FAMILY.stl,784,370,"[0.007696751, 0.052813496, -0.004626211, 0.020096365, -0.121693149, -0.084418431]","[0.030255124, 0.007735077, -0.10305579]","[45.116745, 24.722576, 37.274718]",PASS,405959cb8cbab7b8a7d42a44a5e68dc0232388d579ac5c770beb290b418c59cb,e89c57a95eff1582b07c6e4b698202ebc8e3d53b939132231bc98a1f146cce6e,EXTRACTED_IN_PLACE_FROM_ORIGINAL_ASSEMBLED_ZEROTH_LINK; NO_TRANSLATION_OR_HOUSING_PHASE_ADDED
S09,right_elbow_yaw,right_elbow,3215_1Flange_2,3215_1Flange_2.stl,0,distal elbow servo body carried by the upper-arm link,generated/cad/physical_mount_v1/servos/S09_right_elbow_yaw_INSTALLED_STS3215_FAMILY.stl,4844,2400,"[0.057872325, 0.103095084, -0.018799718, 0.018600002, -0.030961664, -0.006239086]","[0.080483705, -9.9858e-05, -0.018600375]","[45.222759, 37.39972, 24.722578]",PASS,0ab617ab3f45d9369d6bf63d7de428ae3fc392e7e14d9ae3c241590714a355dd,777b92d5dfe35ede688a2186a821399696b65e7adb8c6d4048c5391f868e74fe,EXTRACTED_IN_PLACE_FROM_ORIGINAL_ASSEMBLED_ZEROTH_LINK; NO_TRANSLATION_OR_HOUSING_PHASE_ADDED
S10,left_elbow_yaw,left_elbow,3215_1Flange,3215_1Flange.stl,0,distal elbow servo body carried by the upper-arm link,generated/cad/physical_mount_v1/servos/S10_left_elbow_yaw_INSTALLED_STS3215_FAMILY.stl,4846,2401,"[0.057872321, 0.103095077, -0.018600004, 0.018799717, -0.030961664, -0.006239087]","[0.080483699, 9.9856e-05, -0.018600376]","[45.222756, 37.39972, 24.722577]",PASS,7b6b03b4047961576d2edb3702af5d8cd9e817182e6687919ddffd985f004567,c94bb62302d7f701e7782eca49485b16e70775b73b3b1bccd27491ad841859fc,EXTRACTED_IN_PLACE_FROM_ORIGINAL_ASSEMBLED_ZEROTH_LINK; NO_TRANSLATION_OR_HOUSING_PHASE_ADDED
