link,component,subassembly,transform_error,status
Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_Z_BOT2_MASTER_BODY_SKELETON-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_Z_BOT2_MASTER_BODY_SKELETON.SLDASM,0.0,PASS
3215_1Flange,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_1FLANGE-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_1FLANGE.SLDASM,3.469446951953614e-18,PASS
3215_1Flange_2,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_1FLANGE_2-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_1FLANGE_2.SLDASM,2.220446049250313e-16,PASS
3215_BothFlange_10,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_10-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_10.SLDASM,3.469446951953614e-18,PASS
3215_BothFlange_13,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_13-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_13.SLDASM,2.220446049250313e-16,PASS
3215_BothFlange_14,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_14-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_14.SLDASM,0.0,PASS
3215_BothFlange_5,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_5-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_5.SLDASM,0.0,PASS
3215_BothFlange_6,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_6-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_6.SLDASM,2.7755575615628914e-17,PASS
3215_BothFlange_9,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_9-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_9.SLDASM,2.220446049250313e-16,PASS
FINGER_1,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_FINGER_1-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_FINGER_1.SLDASM,2.220446049250313e-16,PASS
FINGER_1_2,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_FINGER_1_2-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_FINGER_1_2.SLDASM,0.0,PASS
FOOT,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_FOOT-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_FOOT.SLDASM,2.220446049250313e-16,PASS
FOOT_2,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_FOOT_2-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_FOOT_2.SLDASM,3.469446951953614e-18,PASS
IMU_2,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_IMU_2-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_IMU_2.SLDASM,0.0,PASS
L_ARM_MIRROR_1,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_L_ARM_MIRROR_1-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_L_ARM_MIRROR_1.SLDASM,0.0,PASS
R_ARM_MIRROR_1,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_R_ARM_MIRROR_1-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_R_ARM_MIRROR_1.SLDASM,1.3877787807814457e-17,PASS
U_HIP_L,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_U_HIP_L-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_U_HIP_L.SLDASM,0.0,PASS
U_HIP_R,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_U_HIP_R-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_U_HIP_R.SLDASM,8.673617379884035e-19,PASS
Z_BOT2_MASTER_SHOULDER2,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_Z_BOT2_MASTER_SHOULDER2-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_Z_BOT2_MASTER_SHOULDER2.SLDASM,0.0,PASS
Z_BOT2_MASTER_SHOULDER2_2,ZEROTH01_PHYSICAL_MOUNT_V1_LINK_Z_BOT2_MASTER_SHOULDER2_2-1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_Z_BOT2_MASTER_SHOULDER2_2.SLDASM,0.0,PASS
