source,part,method,load_error,extent_x_m,extent_y_m,extent_z_m,bytes,seconds,scale_gate,status,kind,link,id,joint,owning_link
E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\cad\physical_mount_v1\skeleton\3215_1Flange.stl,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_1FLANGE_CARRIER.SLDPRT,reuse_existing_interactive_stl_surface_part,0,0.10662976279854774,0.035040002316236496,0.035040000337176025,679461,3.863532543182373,PASS,PASS,carrier,3215_1Flange,,,
E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\cad\physical_mount_v1\skeleton\3215_1Flange_2.stl,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_1FLANGE_2_CARRIER.SLDPRT,reuse_existing_interactive_stl_surface_part,0,0.10662976279854774,0.035040002316236496,0.035040000337176025,682711,1.0865027904510498,PASS,PASS,carrier,3215_1Flange_2,,,
E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\cad\physical_mount_v1\skeleton\3215_BothFlange_10.stl,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_10_CARRIER.SLDPRT,reuse_existing_interactive_stl_surface_part,0,0.10451276833191514,0.03684866987168789,0.04064000165089965,1228182,1.1239137649536133,PASS,PASS,carrier,3215_BothFlange_10,,,
E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\cad\physical_mount_v1\skeleton\3215_BothFlange_13.stl,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_13_CARRIER.SLDPRT,reuse_existing_interactive_stl_surface_part,0,0.08907703449949622,0.032759977504611015,0.03484000253956765,633100,1.0643706321716309,PASS,PASS,carrier,3215_BothFlange_13,,,
E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\cad\physical_mount_v1\skeleton\3215_BothFlange_14.stl,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_14_CARRIER.SLDPRT,reuse_existing_interactive_stl_surface_part,0,0.08907703449949622,0.032759975641965866,0.03504000254906714,630442,1.081622838973999,PASS,PASS,carrier,3215_BothFlange_14,,,
E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\cad\physical_mount_v1\skeleton\3215_BothFlange_5.stl,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_5_CARRIER.SLDPRT,reuse_existing_interactive_stl_surface_part,0,0.044025651179254055,0.05480293929576874,0.03504000077373348,578248,1.0730574131011963,PASS,PASS,carrier,3215_BothFlange_5,,,
E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\cad\physical_mount_v1\skeleton\3215_BothFlange_6.stl,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_6_CARRIER.SLDPRT,reuse_existing_interactive_stl_surface_part,0,0.044025653041899204,0.05480293929576874,0.03503999998793006,592099,1.0372068881988525,PASS,PASS,carrier,3215_BothFlange_6,,,
E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\cad\physical_mount_v1\skeleton\3215_BothFlange_9.stl,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_9_CARRIER.SLDPRT,reuse_existing_interactive_stl_surface_part,0,0.104512769728899,0.03684866987168789,0.040639999555423856,1260040,1.0925624370574951,PASS,PASS,carrier,3215_BothFlange_9,,,
E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\cad\physical_mount_v1\skeleton\FINGER_1.stl,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_FINGER_1_CARRIER.SLDPRT,reuse_existing_interactive_stl_surface_part,0,0.026911133900284767,0.07625205535441637,0.040639999555423856,2121297,1.141343593597412,PASS,PASS,carrier,FINGER_1,,,
E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\cad\physical_mount_v1\skeleton\FINGER_1_2.stl,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_FINGER_1_2_CARRIER.SLDPRT,reuse_existing_interactive_stl_surface_part,0,0.026911132037639618,0.07625205535441637,0.040640001418069005,2136429,1.1465940475463867,PASS,PASS,carrier,FINGER_1_2,,,
