row_type,id,joint,owning_link,servo_body_side_of_joint,joint_parent,joint_child,shaft_center_offset_mm,expected_offset_mm,offset_error_mm,carrier_mesh_present,gate,pair,right_id,left_id,world_mirror_plane,right_joint_origin_world_m,left_joint_origin_world_m,right_joint_axis_world,left_joint_axis_world,right_world_center_m,left_world_center_m,mirror_residual_mm,housing_center_mirror_error_mm,housing_axial_offset_mm,housing_transverse_mirror_error_mm,joint_origin_mirror_error_mm,joint_axis_line_mirror_error_mm,joint_axis_mirror_angle_error_deg,max_sorted_size_error_mm,strict_symmetry_gate
servo_axis,S01,right_shoulder_pitch,3215_1Flange_2,child,Z_BOT2_MASTER_SHOULDER2_2,3215_1Flange_2,12.500093,12.5,9.3e-05,True,PASS,,,,,,,,,,,,,,,,,,,
servo_axis,S02,left_shoulder_pitch,3215_1Flange,child,Z_BOT2_MASTER_SHOULDER2,3215_1Flange,12.500093,12.5,9.3e-05,True,PASS,,,,,,,,,,,,,,,,,,,
servo_axis,S03,right_shoulder_yaw,Z_BOT2_MASTER_BODY_SKELETON,parent,Z_BOT2_MASTER_BODY_SKELETON,Z_BOT2_MASTER_SHOULDER2_2,12.651467,12.5,0.151467,True,PASS,,,,,,,,,,,,,,,,,,,
servo_axis,S04,right_hip_pitch,3215_BothFlange_10,child,3215_BothFlange_6,3215_BothFlange_10,12.500072,12.5,7.2e-05,True,PASS,,,,,,,,,,,,,,,,,,,
servo_axis,S05,left_hip_pitch,3215_BothFlange_9,child,3215_BothFlange_5,3215_BothFlange_9,12.500093,12.5,9.3e-05,True,PASS,,,,,,,,,,,,,,,,,,,
servo_axis,S06,left_shoulder_yaw,Z_BOT2_MASTER_BODY_SKELETON,parent,Z_BOT2_MASTER_BODY_SKELETON,Z_BOT2_MASTER_SHOULDER2,12.651332,12.5,0.151332,True,PASS,,,,,,,,,,,,,,,,,,,
servo_axis,S07,right_hip_yaw,Z_BOT2_MASTER_BODY_SKELETON,parent,Z_BOT2_MASTER_BODY_SKELETON,U_HIP_R,12.552965,12.5,0.052965,True,PASS,,,,,,,,,,,,,,,,,,,
servo_axis,S08,left_hip_yaw,Z_BOT2_MASTER_BODY_SKELETON,parent,Z_BOT2_MASTER_BODY_SKELETON,U_HIP_L,12.552876,12.5,0.052876,True,PASS,,,,,,,,,,,,,,,,,,,
servo_axis,S09,right_elbow_yaw,3215_1Flange_2,parent,3215_1Flange_2,L_ARM_MIRROR_1,12.500289,12.5,0.000289,True,PASS,,,,,,,,,,,,,,,,,,,
servo_axis,S10,left_elbow_yaw,3215_1Flange,parent,3215_1Flange,R_ARM_MIRROR_1,12.500308,12.5,0.000308,True,PASS,,,,,,,,,,,,,,,,,,,
servo_axis,S11,right_hip_roll,3215_BothFlange_6,child,U_HIP_R,3215_BothFlange_6,12.500093,12.5,9.3e-05,True,PASS,,,,,,,,,,,,,,,,,,,
