kind,name,attachment,part,transform_error,status,joint,classification
carrier,Z_BOT2_MASTER_BODY_SKELETON,Z_BOT2_MASTER_BODY_SKELETON,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_Z_BOT2_MASTER_BODY_SKELETON_CARRIER.SLDPRT,0.0,PASS,,
carrier,3215_1Flange,3215_1Flange,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_1FLANGE_CARRIER.SLDPRT,1.734723475976807e-18,PASS,,
carrier,3215_1Flange_2,3215_1Flange_2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_1FLANGE_2_CARRIER.SLDPRT,2.220446049250313e-16,PASS,,
carrier,3215_BothFlange_10,3215_BothFlange_10,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_10_CARRIER.SLDPRT,3.469446951953614e-18,PASS,,
carrier,3215_BothFlange_13,3215_BothFlange_13,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_13_CARRIER.SLDPRT,2.220446049250313e-16,PASS,,
carrier,3215_BothFlange_14,3215_BothFlange_14,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_14_CARRIER.SLDPRT,0.0,PASS,,
carrier,3215_BothFlange_5,3215_BothFlange_5,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_5_CARRIER.SLDPRT,0.0,PASS,,
carrier,3215_BothFlange_6,3215_BothFlange_6,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_6_CARRIER.SLDPRT,0.0,PASS,,
carrier,3215_BothFlange_9,3215_BothFlange_9,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_9_CARRIER.SLDPRT,2.220446049250313e-16,PASS,,
carrier,FINGER_1,FINGER_1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v2_minimal\parts\ZEROTH01_V2_MINIMAL_LEFT_Q_HAND.SLDPRT,2.220446049250313e-16,PASS,,
carrier,FINGER_1_2,FINGER_1_2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v2_minimal\parts\ZEROTH01_V2_MINIMAL_RIGHT_Q_HAND.SLDPRT,0.0,PASS,,
carrier,FOOT,FOOT,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_FOOT_CARRIER.SLDPRT,2.220446049250313e-16,PASS,,
carrier,FOOT_2,FOOT_2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_FOOT_2_CARRIER.SLDPRT,3.469446951953614e-18,PASS,,
carrier,IMU_2,IMU_2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_IMU_2_CARRIER.SLDPRT,0.0,PASS,,
carrier,L_ARM_MIRROR_1,L_ARM_MIRROR_1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v2_minimal\parts\replacements\ZEROTH01_V2_MINIMAL_L_ARM_MIRROR_1_WRIST_TRIMMED.SLDPRT,0.0,PASS,,
carrier,R_ARM_MIRROR_1,R_ARM_MIRROR_1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v2_minimal\parts\replacements\ZEROTH01_V2_MINIMAL_R_ARM_MIRROR_1_WRIST_TRIMMED.SLDPRT,1.3877787807814457e-17,PASS,,
carrier,U_HIP_L,U_HIP_L,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_U_HIP_L_CARRIER.SLDPRT,0.0,PASS,,
carrier,U_HIP_R,U_HIP_R,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_U_HIP_R_CARRIER.SLDPRT,8.673617379884035e-19,PASS,,
carrier,Z_BOT2_MASTER_SHOULDER2,Z_BOT2_MASTER_SHOULDER2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_Z_BOT2_MASTER_SHOULDER2_CARRIER.SLDPRT,0.0,PASS,,
carrier,Z_BOT2_MASTER_SHOULDER2_2,Z_BOT2_MASTER_SHOULDER2_2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\skeleton\ZEROTH01_PHYSICAL_MOUNT_V1_Z_BOT2_MASTER_SHOULDER2_2_CARRIER.SLDPRT,0.0,PASS,,
source_installed_servo,S01,3215_1Flange_2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S01_INSTALLED_STS3215_FAMILY_REFERENCE_RIGHT_SHOULDER_PITCH.SLDPRT,2.220446049250313e-16,PASS,right_shoulder_pitch,
source_installed_servo,S02,3215_1Flange,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S02_INSTALLED_STS3215_FAMILY_REFERENCE_LEFT_SHOULDER_PITCH.SLDPRT,1.734723475976807e-18,PASS,left_shoulder_pitch,
source_installed_servo,S03,Z_BOT2_MASTER_BODY_SKELETON,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S03_INSTALLED_STS3215_FAMILY_REFERENCE_RIGHT_SHOULDER_YAW.SLDPRT,0.0,PASS,right_shoulder_yaw,
source_installed_servo,S04,3215_BothFlange_10,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S04_INSTALLED_STS3215_FAMILY_REFERENCE_RIGHT_HIP_PITCH.SLDPRT,2.7755575615628914e-17,PASS,right_hip_pitch,
source_installed_servo,S05,3215_BothFlange_9,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S05_INSTALLED_STS3215_FAMILY_REFERENCE_LEFT_HIP_PITCH.SLDPRT,2.220446049250313e-16,PASS,left_hip_pitch,
source_installed_servo,S06,Z_BOT2_MASTER_BODY_SKELETON,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S06_INSTALLED_STS3215_FAMILY_REFERENCE_LEFT_SHOULDER_YAW.SLDPRT,0.0,PASS,left_shoulder_yaw,
source_installed_servo,S07,Z_BOT2_MASTER_BODY_SKELETON,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S07_INSTALLED_STS3215_FAMILY_REFERENCE_RIGHT_HIP_YAW.SLDPRT,0.0,PASS,right_hip_yaw,
source_installed_servo,S08,Z_BOT2_MASTER_BODY_SKELETON,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S08_INSTALLED_STS3215_FAMILY_REFERENCE_LEFT_HIP_YAW.SLDPRT,0.0,PASS,left_hip_yaw,
source_installed_servo,S09,3215_1Flange_2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S09_INSTALLED_STS3215_FAMILY_REFERENCE_RIGHT_ELBOW_YAW.SLDPRT,2.220446049250313e-16,PASS,right_elbow_yaw,
source_installed_servo,S10,3215_1Flange,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S10_INSTALLED_STS3215_FAMILY_REFERENCE_LEFT_ELBOW_YAW.SLDPRT,3.469446951953614e-18,PASS,left_elbow_yaw,
source_installed_servo,S11,3215_BothFlange_6,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S11_INSTALLED_STS3215_FAMILY_REFERENCE_RIGHT_HIP_ROLL.SLDPRT,2.7755575615628914e-17,PASS,right_hip_roll,
source_installed_servo,S12,3215_BothFlange_5,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S12_INSTALLED_STS3215_FAMILY_REFERENCE_LEFT_HIP_ROLL.SLDPRT,0.0,PASS,left_hip_roll,
source_installed_servo,S13,3215_BothFlange_14,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S13_INSTALLED_STS3215_FAMILY_REFERENCE_RIGHT_KNEE_PITCH.SLDPRT,0.0,PASS,right_knee_pitch,
source_installed_servo,S14,3215_BothFlange_13,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S14_INSTALLED_STS3215_FAMILY_REFERENCE_LEFT_KNEE_PITCH.SLDPRT,2.220446049250313e-16,PASS,left_knee_pitch,
source_installed_servo,S15,3215_BothFlange_14,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S15_INSTALLED_STS3215_FAMILY_REFERENCE_RIGHT_ANKLE_PITCH.SLDPRT,6.938893903907228e-18,PASS,right_ankle_pitch,
source_installed_servo,S16,3215_BothFlange_13,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\parts\servos\S16_INSTALLED_STS3215_FAMILY_REFERENCE_LEFT_ANKLE_PITCH.SLDPRT,2.220446049250313e-16,PASS,left_ankle_pitch,
minimal_v2_part,chest_panel,Z_BOT2_MASTER_BODY_SKELETON,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v2_minimal\parts\ZEROTH01_V2_MINIMAL_CHEST_PANEL.SLDPRT,0.0,PASS,,shallow_rounded_chest_front_panel
