component_id,role,owner_link,native_part,transform_error,status
CARRIER_Z_BOT2_MASTER_BODY_SKELETON,source_load_bearing_carrier,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_PHYSICAL_MOUNT_V1_Z_BOT2_MASTER_BODY_SKELETON_CARRIER.SLDPRT,0.0,PASS
CARRIER_Z_BOT2_MASTER_SHOULDER2,source_load_bearing_carrier,Z_BOT2_MASTER_SHOULDER2,ZEROTH01_PHYSICAL_MOUNT_V1_Z_BOT2_MASTER_SHOULDER2_CARRIER.SLDPRT,0.0,PASS
CARRIER_Z_BOT2_MASTER_SHOULDER2_2,source_load_bearing_carrier,Z_BOT2_MASTER_SHOULDER2_2,ZEROTH01_PHYSICAL_MOUNT_V1_Z_BOT2_MASTER_SHOULDER2_2_CARRIER.SLDPRT,0.0,PASS
CARRIER_3215_1Flange,source_load_bearing_carrier,3215_1Flange,ZEROTH01_PHYSICAL_MOUNT_V1_3215_1FLANGE_CARRIER.SLDPRT,1.734723475976807e-18,PASS
CARRIER_3215_1Flange_2,source_load_bearing_carrier,3215_1Flange_2,ZEROTH01_PHYSICAL_MOUNT_V1_3215_1FLANGE_2_CARRIER.SLDPRT,2.220446049250313e-16,PASS
CARRIER_R_ARM_MIRROR_1,source_load_bearing_carrier,R_ARM_MIRROR_1,ZEROTH01_V2_MINIMAL_R_ARM_MIRROR_1_WRIST_TRIMMED.SLDPRT,2.220446049250313e-16,PASS
CARRIER_L_ARM_MIRROR_1,source_load_bearing_carrier,L_ARM_MIRROR_1,ZEROTH01_V2_MINIMAL_L_ARM_MIRROR_1_WRIST_TRIMMED.SLDPRT,0.0,PASS
CARRIER_U_HIP_L,source_load_bearing_carrier,U_HIP_L,ZEROTH01_PHYSICAL_MOUNT_V1_U_HIP_L_CARRIER.SLDPRT,0.0,PASS
CARRIER_U_HIP_R,source_load_bearing_carrier,U_HIP_R,ZEROTH01_PHYSICAL_MOUNT_V1_U_HIP_R_CARRIER.SLDPRT,8.673617379884035e-19,PASS
CARRIER_3215_BothFlange_5,source_load_bearing_carrier,3215_BothFlange_5,ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_5_CARRIER.SLDPRT,0.0,PASS
CARRIER_3215_BothFlange_6,source_load_bearing_carrier,3215_BothFlange_6,ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_6_CARRIER.SLDPRT,0.0,PASS
CARRIER_3215_BothFlange_9,source_load_bearing_carrier,3215_BothFlange_9,ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_9_CARRIER.SLDPRT,2.220446049250313e-16,PASS
CARRIER_3215_BothFlange_10,source_load_bearing_carrier,3215_BothFlange_10,ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_10_CARRIER.SLDPRT,3.469446951953614e-18,PASS
CARRIER_3215_BothFlange_13,source_load_bearing_carrier,3215_BothFlange_13,ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_13_CARRIER.SLDPRT,2.220446049250313e-16,PASS
CARRIER_3215_BothFlange_14,source_load_bearing_carrier,3215_BothFlange_14,ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_14_CARRIER.SLDPRT,0.0,PASS
CARRIER_FOOT,source_load_bearing_carrier,FOOT,ZEROTH01_PHYSICAL_MOUNT_V1_FOOT_CARRIER.SLDPRT,2.220446049250313e-16,PASS
CARRIER_FOOT_2,source_load_bearing_carrier,FOOT_2,ZEROTH01_PHYSICAL_MOUNT_V1_FOOT_2_CARRIER.SLDPRT,3.469446951953614e-18,PASS
LEFT_Q_HAND,fixed_q_hand,FINGER_1,ZEROTH01_V2_MINIMAL_LEFT_Q_HAND.SLDPRT,2.220446049250313e-16,PASS
RIGHT_Q_HAND,fixed_q_hand,FINGER_1_2,ZEROTH01_V2_MINIMAL_RIGHT_Q_HAND.SLDPRT,0.0,PASS
V2_COMPUTE_MODULE,internal_payload_controlled_envelope,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V2_MINIMAL_COMPUTE_MODULE.SLDPRT,0.0,PASS
V2_BATTERY_PACK,internal_payload_controlled_envelope,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V2_MINIMAL_BATTERY_PACK.SLDPRT,0.0,PASS
V2_TORSO_IMU,internal_payload_controlled_envelope,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V2_MINIMAL_TORSO_IMU.SLDPRT,0.0,PASS
M5STACK_STACKCHAN_K151_PURCHASED_HEAD_POD,purchased_interaction_head_module,m5stack_stackchan_k151_head_pod,ZEROTH01_V3_M5STACK_STACKCHAN_K151_PURCHASED_ENVELOPE.SLDPRT,0.0,PASS
STACKCHAN_K151_TORSO_ADAPTER_3MM_6061,reversible_purchased_head_torso_adapter,stackchan_k151_torso_adapter,ZEROTH01_V3_STACKCHAN_K151_TORSO_ADAPTER_3MM_6061.SLDPRT,0.0,PASS
STACKCHAN_K151_FACE_GLASS,purchased_head_face_reference,m5stack_stackchan_k151_head_pod,ZEROTH01_V3_M5STACK_STACKCHAN_K151_FACE_GLASS_REFERENCE.SLDPRT,0.0,PASS
STACKCHAN_K151_CAMERA_WINDOW,purchased_head_sensor_window_reference,m5stack_stackchan_k151_head_pod,ZEROTH01_V3_M5STACK_STACKCHAN_K151_CAMERA_REFERENCE.SLDPRT,1.3877787807814457e-17,PASS
STACKCHAN_K151_SCREEN_EXPRESSION,purchased_head_screen_ui_reference,m5stack_stackchan_k151_head_pod,ZEROTH01_V3_M5STACK_STACKCHAN_K151_EXPRESSION_REFERENCE.SLDPRT,0.0,PASS
S06_STS3250_left_shoulder_yaw,dimension_controlled_sts3250,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,1.734723475976807e-18,PASS
S03_STS3250_right_shoulder_yaw,dimension_controlled_sts3250,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,1.734723475976807e-18,PASS
S02_STS3250_left_shoulder_pitch,dimension_controlled_sts3250,3215_1Flange,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,1.734723475976807e-18,PASS
S01_STS3250_right_shoulder_pitch,dimension_controlled_sts3250,3215_1Flange_2,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,1.734723475976807e-18,PASS
S10_STS3250_left_elbow_yaw,dimension_controlled_sts3250,3215_1Flange,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,1.3877787807814457e-17,PASS
S09_STS3250_right_elbow_yaw,dimension_controlled_sts3250,3215_1Flange_2,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,1.3877787807814457e-17,PASS
S08_STS3250_left_hip_yaw,dimension_controlled_sts3250,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,1.3877787807814457e-17,PASS
S07_STS3250_right_hip_yaw,dimension_controlled_sts3250,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,1.3877787807814457e-17,PASS
S12_STS3250_left_hip_roll,dimension_controlled_sts3250,3215_BothFlange_5,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,0.0,PASS
S11_STS3250_right_hip_roll,dimension_controlled_sts3250,3215_BothFlange_6,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,2.220446049250313e-16,PASS
S05_STS3250_left_hip_pitch,dimension_controlled_sts3250,3215_BothFlange_9,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,1.734723475976807e-18,PASS
S04_STS3250_right_hip_pitch,dimension_controlled_sts3250,3215_BothFlange_10,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,1.734723475976807e-18,PASS
S14_STS3250_left_knee_pitch,dimension_controlled_sts3250,3215_BothFlange_13,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,3.469446951953614e-18,PASS
S13_STS3250_right_knee_pitch,dimension_controlled_sts3250,3215_BothFlange_14,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,0.0,PASS
S16_STS3250_left_ankle_pitch,dimension_controlled_sts3250,3215_BothFlange_13,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,3.469446951953614e-18,PASS
S15_STS3250_right_ankle_pitch,dimension_controlled_sts3250,3215_BothFlange_14,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,3.469446951953614e-18,PASS
S18_STS3250_left_ankle_roll,dimension_controlled_sts3250,left_ankle_roll_carrier,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,3.469446951953614e-18,PASS
S17_STS3250_right_ankle_roll,dimension_controlled_sts3250,right_ankle_roll_carrier,ZEROTH01_V3_STS3250_DIMENSION_CONTROLLED.SLDPRT,3.469446951953614e-18,PASS
LEFT_ANKLE_ROLL_CARRIER,new_ankle_roll_parent_carrier,left_ankle_roll_carrier,ZEROTH01_V3_LEFT_ANKLE_ROLL_CARRIER.SLDPRT,3.469446951953614e-18,PASS
LEFT_ANKLE_ROLL_HORN,new_ankle_roll_child_horn_adapter,FOOT,ZEROTH01_V3_LEFT_ANKLE_ROLL_HORN_ADAPTER.SLDPRT,0.0,PASS
LEFT_9MM_LIGHTWEIGHT_SOLE,replaceable_9mm_perimeter_rib_sole,FOOT,ZEROTH01_V3_LEFT_SOLE_LIGHTWEIGHTED.SLDPRT,2.220446049250313e-16,PASS
RIGHT_ANKLE_ROLL_CARRIER,new_ankle_roll_parent_carrier,right_ankle_roll_carrier,ZEROTH01_V3_RIGHT_ANKLE_ROLL_CARRIER.SLDPRT,3.469446951953614e-18,PASS
RIGHT_ANKLE_ROLL_HORN,new_ankle_roll_child_horn_adapter,FOOT_2,ZEROTH01_V3_RIGHT_ANKLE_ROLL_HORN_ADAPTER.SLDPRT,0.0,PASS
RIGHT_9MM_LIGHTWEIGHT_SOLE,replaceable_9mm_perimeter_rib_sole,FOOT_2,ZEROTH01_V3_RIGHT_SOLE_LIGHTWEIGHTED.SLDPRT,0.0,PASS
