joint,source_lower_rad,source_upper_rad,audited_lower_rad,audited_upper_rad,official_control_limit_applied,method
right_shoulder_pitch,-1.5707963,1.5707963,-1.570796300,1.570796300,false,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
left_shoulder_pitch,-1.5707963,1.5707963,-1.570796300,1.570796300,false,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
right_shoulder_yaw,-1.5707963,1.5707963,-1.570796300,0.471238890,false,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
right_hip_pitch,-1.5707963,1.5707963,-0.837758027,0.628318520,true,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
left_hip_pitch,-1.5707963,1.5707963,-0.628318520,0.837758027,true,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
left_shoulder_yaw,-1.5707963,1.5707963,-0.471238890,1.570796300,false,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
right_hip_yaw,-0.087266463,1.5707963,-0.087266463,1.073377471,true,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
left_hip_yaw,-1.5707963,0.087266463,-1.073377471,0.087266463,true,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
right_elbow_yaw,-1.2217305,1.2217305,-0.977384400,1.221730500,false,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
left_elbow_yaw,-1.2217305,1.2217305,-1.221730500,0.977384400,false,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
right_hip_roll,-0.78539816,0.78539816,-0.785398160,0.785398160,true,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
left_hip_roll,-0.78539816,0.78539816,-0.785398160,0.785398160,true,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
right_knee_pitch,-1.0471976,1.0471976,0.000000000,1.047197600,true,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
left_knee_pitch,-1.0471976,1.0471976,-1.047197600,0.000000000,true,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
right_ankle_pitch,-1.0471976,1.0471976,-1.047197600,1.047197600,true,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
left_ankle_pitch,-1.0471976,1.0471976,-1.047197600,1.047197600,true,"intersection(source_urdf, official_control, buffered_single_axis_sweep)"
