joint,rms_torque_nm,p95_abs_torque_nm,max_abs_torque_nm,torque_limit_saturation_fraction,rms_speed_rad_s,p95_abs_speed_rad_s,max_abs_speed_rad_s,velocity_limit_exceedance_fraction,rms_current_a_estimated,peak_current_a_estimated,mean_copper_loss_w_estimated,temperature_rise_at_end_k_estimated,steady_state_temperature_rise_k_estimated,mean_mechanical_power_w,peak_abs_mechanical_power_w
left_shoulder_yaw,0.07174174742183587,0.12171242254521777,0.16448070998987707,0.0,0.11466251320679711,0.2161265349353849,0.3940704017389258,0.0,0.0614553006672875,0.14089720211247883,0.010790725657447738,0.0021230730585112124,0.06474435394468643,-0.0035363881493995102,0.06086003671805157
left_shoulder_pitch,0.029265597531618594,0.06296409500584889,0.10567243801775153,0.0,0.08241821548766942,0.1886355625955107,0.36211872037110515,0.0,0.025069449241851543,0.09052095445126584,0.0017956493865422026,0.0003525860931613755,0.010773896319253216,-0.0018154769145728004,0.03376952418772309
left_elbow_yaw,0.002457981296082321,0.0033687830921763843,0.003771683731056503,0.0,0.0019841224307417826,0.003159445350821475,0.017329047683815116,0.0,0.0021055519974598714,0.0032308936713108943,1.2666712040020684e-05,2.4954876030764046e-06,7.60002722401241e-05,-1.0516751407005276e-06,5.0032857145845774e-05
right_shoulder_yaw,0.07128677804753716,0.12153714106165513,0.16352820462437678,0.0,0.11408602299637581,0.21537927577317625,0.392706692241759,0.0,0.06106556553123722,0.14008126849324548,0.010654295124713784,0.002095969697124191,0.0639257707482827,-0.0034967939067103884,0.06035346196578011
right_shoulder_pitch,0.028699855458727004,0.06173561366386696,0.1053325240392263,0.0,0.08059271404897152,0.184939135397096,0.3400962661381854,0.0,0.024584824174312344,0.09022977788389772,0.0017268959419481495,0.0003391200942354713,0.010361375651688896,-0.0017342065828234105,0.03152279367718504
right_elbow_yaw,0.002431014477324065,0.0033364725643420822,0.003699496874388477,0.0,0.001927803829733853,0.0030676185288003224,0.015028269029065178,0.0,0.002082451724405685,0.00316905708187469,1.2390300527086313e-05,2.440528303023118e-06,7.434180316251788e-05,-9.817760176911478e-07,2.9506938476628242e-05
left_hip_yaw,0.13289120735060672,0.27527342244170894,0.5270350666602843,0.0,0.1440862938467817,0.29303172169993813,0.65061326609655,0.0,0.11383705300276326,0.4514679339125422,0.037025356103868416,0.007267567311961865,0.22215213662321048,-0.009268123384571874,0.3083025916484445
left_hip_roll,0.23783232489102582,0.47918924805114904,0.8472237584704383,0.0,0.5700185696924401,1.0309780707887815,1.2946625035955979,0.0,0.20373154487911657,0.7257474577964188,0.11859012108237568,0.023323910185383986,0.7115407264942541,0.0029189203878646763,0.5857005977754383
left_hip_pitch,0.8182347045606954,1.255251169204712,1.255251169204712,0.1864,1.346057548212718,2.427509286836755,3.1081266025528334,0.0012,0.7009149009086112,1.0752712442708119,1.403661995187791,0.27595168179708285,8.421971971126744,0.5124768726332084,2.8665570317722504
left_knee_pitch,0.9323964306640922,1.255251169204712,1.255251169204712,0.3932,2.700300387982275,5.02831082184771,7.0877200955100115,0.286,0.7987079357106236,1.0752712442708119,1.8226696187631983,0.35878520526537894,10.93601771257919,0.8548290140175173,8.791072530154578
left_ankle_pitch,0.7210850499670101,1.255251169204712,1.255251169204712,0.186,1.0759919930224915,1.99877499332843,3.578277567763331,0.0212,0.6176947195311937,1.0752712442708119,1.0901336186763362,0.21467402209202868,6.540801712058017,0.044757111097562384,4.4100229035042435
right_hip_yaw,0.13221964130625793,0.2733901762900145,0.49518409499765836,0.0,0.14395199444639478,0.29584313726299344,0.6675164595165508,0.0,0.11326177717444082,0.42418380562720076,0.036652086196321994,0.00719251154761515,0.21991251717793198,-0.009191102477957213,0.29326499008787704
right_hip_roll,0.23731243997574064,0.48149743268856954,0.7641092882323306,0.0,0.577572669873463,1.053055692357492,1.3689214868413926,0.0,0.20328620189641256,0.65455007354187,0.11807222823276882,0.02322365940259828,0.7084333693966129,0.00248655517198462,0.4919651645356262
right_hip_pitch,0.8222618739530355,1.255251169204712,1.255251169204712,0.1936,1.3442051021163333,2.400630687461498,2.9868616742627596,0.0,0.7043646482975218,1.0752712442708119,1.4175130222036818,0.27869861654852,8.50507813322209,0.5189331707809273,3.1502802097967986
right_knee_pitch,0.9348789862596879,1.255251169204712,1.255251169204712,0.3912,2.69417282480768,5.023942033701214,6.913287650697485,0.288,0.8008345385051375,1.0752712442708119,1.8323884516078033,0.36071592407310543,10.99433070964682,0.8583066804805487,8.677912406586513
right_ankle_pitch,0.7219111233208839,1.255251169204712,1.255251169204712,0.1848,1.08525155641619,2.0274708682854974,3.5811203988023985,0.0212,0.6184023491633109,1.0752712442708119,1.092632758430567,0.21516417686892725,6.555796550583402,0.04689062289995758,4.463606924532785
