part,raw_stl,final_stl,units,raw_component_count,removed_zero_volume_artifacts,final_component_count,final_watertight,final_winding_consistent,boundary_edge_count,nonmanifold_edge_count,step_volume_mm3,mesh_volume_mm3,step_mesh_volume_error_ratio,bbox_min_x_mm,bbox_min_y_mm,bbox_min_z_mm,bbox_size_x_mm,bbox_size_y_mm,bbox_size_z_mm,slicer_profile_gate,functional_load_path_gate,mesh_topology_gate
ZEROTH01_ROUND_V1_CHEST_BACK,generated/print/round_v1/ZEROTH01_ROUND_V1_CHEST_BACK.stl,generated/print/round_v1/final/ZEROTH01_ROUND_V1_CHEST_BACK.stl,mm,5,4,1,True,True,0,0,159761.082230003,159692.769360282,0.000427593934,-89.000000000,5.175000191,-71.000000000,178.000000000,37.824999809,130.000000000,BLOCKED_EXPLICIT_PROFILE_REQUIRED,FAIL_COSMETIC_OR_FIT_PROTOTYPE_ONLY,PASS
ZEROTH01_ROUND_V1_CHEST_FRONT,generated/print/round_v1/ZEROTH01_ROUND_V1_CHEST_FRONT.stl,generated/print/round_v1/final/ZEROTH01_ROUND_V1_CHEST_FRONT.stl,mm,3,2,1,True,True,0,0,153681.256135489,153633.386987350,0.000311483322,-89.000000000,-33.000000000,-71.000000000,178.000000000,37.824999809,130.000000000,BLOCKED_EXPLICIT_PROFILE_REQUIRED,FAIL_COSMETIC_OR_FIT_PROTOTYPE_ONLY,PASS
ZEROTH01_ROUND_V1_HEAD_BACK,generated/print/round_v1/ZEROTH01_ROUND_V1_HEAD_BACK.stl,generated/print/round_v1/final/ZEROTH01_ROUND_V1_HEAD_BACK.stl,mm,11,10,1,True,True,0,0,101040.401868734,100898.522945217,0.00140418012,-67.997650146,-2.825000048,60.000000000,135.995300293,32.825000048,89.000000000,BLOCKED_EXPLICIT_PROFILE_REQUIRED,FAIL_COSMETIC_OR_FIT_PROTOTYPE_ONLY,PASS
ZEROTH01_ROUND_V1_HEAD_FRONT,generated/print/round_v1/ZEROTH01_ROUND_V1_HEAD_FRONT.stl,generated/print/round_v1/final/ZEROTH01_ROUND_V1_HEAD_FRONT.stl,mm,9,8,1,True,True,0,0,129719.559840896,129569.799679472,0.00115449175,-67.997650146,-36.000000000,60.000000000,135.995300293,32.825000048,89.000000000,BLOCKED_EXPLICIT_PROFILE_REQUIRED,FAIL_COSMETIC_OR_FIT_PROTOTYPE_ONLY,PASS
ZEROTH01_ROUND_V1_JOINT_RING,generated/print/round_v1/ZEROTH01_ROUND_V1_JOINT_RING.stl,generated/print/round_v1/final/ZEROTH01_ROUND_V1_JOINT_RING.stl,mm,1,0,1,True,True,0,0,5799.380038527,5795.919503960,0.000596707673,-20.990600586,-20.997650146,-4.000000000,41.990600586,41.995300293,8.000000000,BLOCKED_EXPLICIT_PROFILE_REQUIRED,FAIL_COSMETIC_OR_FIT_PROTOTYPE_ONLY,PASS
ZEROTH01_ROUND_V1_LEFT_SOLE,generated/print/round_v1/ZEROTH01_ROUND_V1_LEFT_SOLE.stl,generated/print/round_v1/final/ZEROTH01_ROUND_V1_LEFT_SOLE.stl,mm,9,8,1,True,True,0,0,67350.775871552,67345.746862006,7.46689178e-05,-66.000000000,-30.110000610,-12.975000381,112.000000000,16.000000954,64.000001907,BLOCKED_EXPLICIT_PROFILE_REQUIRED,FAIL_COSMETIC_OR_FIT_PROTOTYPE_ONLY,PASS
ZEROTH01_ROUND_V1_MUZZLE_BADGE,generated/print/round_v1/ZEROTH01_ROUND_V1_MUZZLE_BADGE.stl,generated/print/round_v1/final/ZEROTH01_ROUND_V1_MUZZLE_BADGE.stl,mm,9,8,1,True,True,0,0,24670.403531797,24665.421182484,0.000201956539,-34.000000000,-45.000000000,69.500000000,68.000000000,12.000000000,33.000000000,BLOCKED_EXPLICIT_PROFILE_REQUIRED,FAIL_COSMETIC_OR_FIT_PROTOTYPE_ONLY,PASS
ZEROTH01_ROUND_V1_PELVIS_BACK,generated/print/round_v1/ZEROTH01_ROUND_V1_PELVIS_BACK.stl,generated/print/round_v1/final/ZEROTH01_ROUND_V1_PELVIS_BACK.stl,mm,5,4,1,True,True,0,0,56150.958034503,56117.933439901,0.000588139468,-54.000000000,5.175000191,-121.997314453,108.000000000,33.824999809,61.994628906,BLOCKED_EXPLICIT_PROFILE_REQUIRED,FAIL_COSMETIC_OR_FIT_PROTOTYPE_ONLY,PASS
ZEROTH01_ROUND_V1_PELVIS_FRONT,generated/print/round_v1/ZEROTH01_ROUND_V1_PELVIS_FRONT.stl,generated/print/round_v1/final/ZEROTH01_ROUND_V1_PELVIS_FRONT.stl,mm,5,4,1,True,True,0,0,50631.479810808,50606.896546129,0.000485533205,-54.000000000,-29.000000000,-121.997314453,108.000000000,33.824999809,61.994628906,BLOCKED_EXPLICIT_PROFILE_REQUIRED,FAIL_COSMETIC_OR_FIT_PROTOTYPE_ONLY,PASS
ZEROTH01_ROUND_V1_RIGHT_SOLE,generated/print/round_v1/ZEROTH01_ROUND_V1_RIGHT_SOLE.stl,generated/print/round_v1/final/ZEROTH01_ROUND_V1_RIGHT_SOLE.stl,mm,9,8,1,True,True,0,0,67350.775871552,67345.746863429,7.46688967e-05,-66.000000000,-30.110000610,-51.025001526,112.000000000,16.000000954,64.000001907,BLOCKED_EXPLICIT_PROFILE_REQUIRED,FAIL_COSMETIC_OR_FIT_PROTOTYPE_ONLY,PASS
ZEROTH01_ROUND_V1_VISOR_BADGE,generated/print/round_v1/ZEROTH01_ROUND_V1_VISOR_BADGE.stl,generated/print/round_v1/final/ZEROTH01_ROUND_V1_VISOR_BADGE.stl,mm,9,8,1,True,True,0,0,21495.890480742,21493.055774919,0.000131871989,-46.000000000,-42.000000000,91.500000000,92.000000000,8.000000000,31.000000000,BLOCKED_EXPLICIT_PROFILE_REQUIRED,FAIL_COSMETIC_OR_FIT_PROTOTYPE_ONLY,PASS
