part,step_file,classification,material_assumption,density_kg_m3,volume_mm3,nominal_mass_kg,com_x_m,com_y_m,com_z_m,ixx_kg_m2,iyy_kg_m2,izz_kg_m2,ixy_kg_m2,ixz_kg_m2,iyz_kg_m2,installed_link,installed_quantity,positive_definite_inertia_gate,hardware_override_required
chest_front,generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_CHEST_FRONT.step,cosmetic_non_load_bearing_shell,PETG_nominal,1270.0,156868.778334714,0.199223348,-1.82943362869e-09,-0.0194792342177,-0.0123676296794,0.000378984271021,0.000827298521274,0.000501541998163,7.83039412701e-12,9.53537030906e-12,1.23976223959e-05,Torso,1,PASS,YES
chest_back,generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_CHEST_BACK.step,cosmetic_non_load_bearing_shell,PETG_nominal,1270.0,164126.080410934,0.208440122,-2.79848674434e-10,0.0294162475525,-0.0100961136335,0.000404114833799,0.000894405440779,0.000544330992909,-5.86760640906e-13,1.43643158113e-12,-1.16459603889e-05,Torso,1,PASS,YES
head_front,generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_HEAD_FRONT.step,poppy_eva_derived_cosmetic_non_load_bearing_shell,PETG_nominal,1270.0,57865.627770568,0.073489347,1.24814415143e-05,-0.0178926324902,0.117283675812,0.000122764711108,0.000290284621913,0.000183207106035,1.13521441309e-08,4.80037688675e-08,-3.17512181213e-06,Torso,1,PASS,YES
head_back,generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_HEAD_BACK.step,poppy_eva_derived_cosmetic_non_load_bearing_shell,PETG_nominal,1270.0,84928.269217582,0.107858902,7.46596655649e-06,0.0198245078881,0.113177862242,0.00015674738268,0.000343303708046,0.00023429890307,2.16888554283e-08,-3.657406406e-08,9.79130424121e-06,Torso,1,PASS,YES
pelvis_front,generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_PELVIS_FRONT.step,cosmetic_non_load_bearing_shell,PETG_nominal,1270.0,50012.049129847,0.063515302,1.60699079549e-08,-0.0157913498367,-0.0892920125327,2.86689316296e-05,7.10916415195e-05,5.46728706759e-05,-1.54164107859e-11,-1.31953225667e-11,-9.71147572496e-07,Torso,1,PASS,YES
pelvis_back,generated/cad/round_v1/parts/ZEROTH01_ROUND_V1_PELVIS_BACK.step,cosmetic_non_load_bearing_shell,PETG_nominal,1270.0,57054.258449839,0.072458908,-5.22332073534e-11,0.0253004362981,-0.090291544315,3.07272915231e-05,9.25469287451e-05,7.48325436731e-05,-2.77453176656e-14,-8.50840309761e-14,7.17118618543e-07,Torso,1,PASS,YES
screen_ui_reference,generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_FACE_UI.step,nonphysical_screen_pixels_visual_only,PETG_nominal,1270.0,423.720175081,0.000538125,-1.77750464317e-05,-0.04045,0.109,1.42288663315e-08,3.31938882869e-07,3.17774853437e-07,-1.26478880702e-22,1.34997435453e-22,-2.9569491744e-22,,0,PASS,YES
visor_badge,generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_VISOR.step,continuous_black_screen_cosmetic_overlay,PETG_nominal,1270.0,36066.548245744,0.045804516,-1.24194346953e-18,-0.038,0.105,2.20637194898e-05,7.3657524464e-05,5.17159503509e-05,2.69821612164e-21,1.30406078824e-21,7.56978988647e-20,Torso,1,PASS,YES
right_upper_arm_sleeve,generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_RIGHT_UPPER_ARM_SLEEVE.step,cosmetic_non_load_bearing_printed_sleeve,PETG_nominal,1270.0,27697.249320077,0.035175507,-0.0149999999989,0.0319999999991,0.019699999999,2.12699226798e-05,3.81220642317e-05,2.45328614956e-05,-5.44002950191e-16,-6.53715226799e-16,6.0424901545e-16,right_shoulder_yaw_motor,1,PASS,YES
left_upper_arm_sleeve,generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_LEFT_UPPER_ARM_SLEEVE.step,cosmetic_non_load_bearing_printed_sleeve,PETG_nominal,1270.0,27697.249320073,0.035175507,0.0150000000011,-0.0320000000009,-0.019700000001,2.12699226798e-05,3.81220642317e-05,2.45328614956e-05,-5.43719083071e-16,-6.51871273294e-16,6.03889450431e-16,left_shoulder_yaw_motor,1,PASS,YES
right_forearm_sleeve,generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_RIGHT_FOREARM_SLEEVE.step,cosmetic_non_load_bearing_printed_sleeve,PETG_nominal,1270.0,33411.172477977,0.042432189,1.08651167601e-11,0.0269999999976,0.0183999999959,2.10967083915e-05,2.85235828208e-05,1.93075563246e-05,-6.75921455956e-15,-9.81136496256e-15,1.33295483887e-15,Left_Hand,1,PASS,YES
left_forearm_sleeve,generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_LEFT_FOREARM_SLEEVE.step,cosmetic_non_load_bearing_printed_sleeve,PETG_nominal,1270.0,33411.172477977,0.042432189,1.08651167601e-11,0.0269999999976,0.0183999999959,2.10967083915e-05,2.85235828208e-05,1.93075563246e-05,-6.75921455956e-15,-9.81136496256e-15,1.33295483887e-15,hand_right,1,PASS,YES
right_chibi_hand,generated/cad/round_v1/parts/ZEROTH01_ROUND_V3_RIGHT_CHIBI_HAND.step,fixed_chibi_palm_cap_no_dexterous_fingers,PETG_nominal,1270.0,54248.957654385,0.068896176,0.000317982945838,0.0811615104672,0.0183610751924,3.07645485652e-05,4.27901545835e-05,3.24570775305e-05,1.13099721962e-07,7.36517767105e-08,-1.38449283298e-08,Left_Hand,1,PASS,YES
