joint,servo_id,color_hex,candidate_actuator,marker_semantics,shaft_xyz_world_mm,joint_positive_axis_world,gate
right_shoulder_pitch,S01,#E6194B,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,-78.136464 -0.335556 43.053290,1.000000000 -0.000000027 0.000000027,PASS
left_shoulder_pitch,S02,#3CB44B,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,78.163541 -0.335556 43.053290,-1.000000000 0.000000027 0.000000020,PASS
right_shoulder_yaw,S03,#4363D8,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,-108.136464 -19.160555 26.754079,0.000000000 -1.000000000 -0.000000046,PASS
right_hip_pitch,S04,#F58231,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,-45.636463 -0.335555 -96.946715,1.000000000 -0.000000027 0.000000027,PASS
left_hip_pitch,S05,#911EB4,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,45.663540 -0.335555 -96.946715,-1.000000000 0.000000027 0.000000027,PASS
left_shoulder_yaw,S06,#42D4F4,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,108.163540 -19.160557 26.754079,-0.000000000 -1.000000000 -0.000000046,PASS
right_hip_yaw,S07,#F032E6,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,-64.996464 -25.835556 -99.446718,-0.000000000 1.000000000 0.000000139,PASS
left_hip_yaw,S08,#BFEF45,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,65.023539 -25.835558 -99.446718,0.000000000 1.000000000 0.000000093,PASS
right_elbow_yaw,S09,#FABED4,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,-138.139578 -18.910551 -37.587814,0.000000020 1.000000000 0.000000135,PASS
left_elbow_yaw,S10,#469990,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,138.166656 -18.910553 -37.587813,-0.000000020 1.000000000 0.000000088,PASS
right_hip_roll,S11,#DCBEFF,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,-64.996462 -10.835545 -167.206730,-0.000000027 -0.000000212 1.000000000,PASS
left_hip_roll,S12,#9A6324,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,65.023537 -10.835553 -167.206729,0.000000027 -0.000000066 1.000000000,PASS
right_knee_pitch,S13,#FFE119,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,-46.171448 -10.835537 -209.416731,-1.000000000 0.000000027 0.000000000,PASS
left_knee_pitch,S14,#000075,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,46.248522 -10.835549 -213.166730,1.000000000 -0.000000027 -0.000000046,PASS
right_ankle_pitch,S15,#FF6F61,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,-46.171435 -10.835525 -269.636732,-1.000000000 0.000000027 0.000000046,PASS
left_ankle_pitch,S16,#006B3C,Feetech STS3250,NONPHYSICAL_POSITION_MARKER; frozen assembled Zeroth-01 link geometry remains authoritative,46.698523 -10.835544 -269.636730,1.000000000 -0.000000027 -0.000000093,PASS
