joint,sample,angle_rad,angle_deg,child_link,child_x_m,child_y_m,child_z_m,transform_readback_max_abs_error,collision_evidence,status,lower_to_upper_child_rotation_deg
right_shoulder_pitch,lower,-0.471238890,-27.000000,shoulder_yaw_right,-0.078136464,-0.000335556,0.043053290,2.220e-16,reports/mujoco_round_v1_gate.json,PASS,53.999999
right_shoulder_pitch,zero,0.000000000,0.000000,shoulder_yaw_right,-0.078136464,-0.000335556,0.043053290,2.220e-16,reports/mujoco_round_v1_gate.json,PASS,53.999999
right_shoulder_pitch,upper,0.471238890,27.000000,shoulder_yaw_right,-0.078136464,-0.000335556,0.043053290,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,53.999999
left_shoulder_pitch,lower,-0.471238890,-27.000000,shoulder_yaw_left,0.078163541,-0.000335556,0.043053290,2.220e-16,reports/mujoco_round_v1_gate.json,PASS,53.999999
left_shoulder_pitch,zero,0.000000000,0.000000,shoulder_yaw_left,0.078163541,-0.000335556,0.043053290,2.220e-16,reports/mujoco_round_v1_gate.json,PASS,53.999999
left_shoulder_pitch,upper,0.471238890,27.000000,shoulder_yaw_left,0.078163541,-0.000335556,0.043053290,2.220e-16,reports/mujoco_round_v1_gate.json,PASS,53.999999
right_shoulder_yaw,lower,-0.471238890,-27.000000,right_shoulder_yaw_motor,-0.108136464,-0.019160555,0.026754079,2.220e-16,reports/mujoco_round_v1_gate.json,PASS,35.099999
right_shoulder_yaw,zero,0.000000000,0.000000,right_shoulder_yaw_motor,-0.108136464,-0.019160555,0.026754079,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,35.099999
right_shoulder_yaw,upper,0.141371667,8.100000,right_shoulder_yaw_motor,-0.108136464,-0.019160555,0.026754079,2.220e-16,reports/mujoco_round_v1_gate.json,PASS,35.099999
right_hip_pitch,lower,-0.412327408,-23.624620,hip_yaw_right,-0.045636463,-0.000335555,-0.096946715,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,25.200000
right_hip_pitch,zero,0.000000000,0.000000,hip_yaw_right,-0.045636463,-0.000335555,-0.096946715,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,25.200000
right_hip_pitch,upper,0.027495556,1.575379,hip_yaw_right,-0.045636463,-0.000335555,-0.096946715,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,25.200000
left_hip_pitch,lower,-0.027495556,-1.575379,hip_yaw_left,0.045663540,-0.000335555,-0.096946715,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,25.200000
left_hip_pitch,zero,0.000000000,0.000000,hip_yaw_left,0.045663540,-0.000335555,-0.096946715,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,25.200000
left_hip_pitch,upper,0.412327408,23.624620,hip_yaw_left,0.045663540,-0.000335555,-0.096946715,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,25.200000
left_shoulder_yaw,lower,-0.141371667,-8.100000,left_shoulder_yaw_motor,0.108163540,-0.019160557,0.026754079,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,35.099999
left_shoulder_yaw,zero,0.000000000,0.000000,left_shoulder_yaw_motor,0.108163540,-0.019160557,0.026754079,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,35.099999
left_shoulder_yaw,upper,0.471238890,27.000000,left_shoulder_yaw_motor,0.108163540,-0.019160557,0.026754079,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,35.099999
right_hip_yaw,lower,-0.026179939,-1.500000,hip_roll_right,-0.064996464,-0.025835556,-0.099446718,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,19.950000
right_hip_yaw,zero,0.000000000,0.000000,hip_roll_right,-0.064996464,-0.025835556,-0.099446718,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,19.950000
right_hip_yaw,upper,0.322013241,18.450000,hip_roll_right,-0.064996464,-0.025835556,-0.099446718,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,19.950000
left_hip_yaw,lower,-0.322013241,-18.450000,hip_roll_left,0.065023539,-0.025835558,-0.099446718,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,19.950000
left_hip_yaw,zero,0.000000000,0.000000,hip_roll_left,0.065023539,-0.025835558,-0.099446718,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,19.950000
left_hip_yaw,upper,0.026179939,1.500000,hip_roll_left,0.065023539,-0.025835558,-0.099446718,3.331e-16,reports/mujoco_round_v1_gate.json,PASS,19.950000
right_elbow_yaw,lower,-0.293215320,-16.800000,Left_Hand,-0.138139578,-0.018910551,-0.037587814,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,37.800001
right_elbow_yaw,zero,0.000000000,0.000000,Left_Hand,-0.138139578,-0.018910551,-0.037587814,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,37.800001
right_elbow_yaw,upper,0.366519150,21.000000,Left_Hand,-0.138139578,-0.018910551,-0.037587814,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,37.800001
left_elbow_yaw,lower,-0.366519150,-21.000000,hand_right,0.138166656,-0.018910553,-0.037587813,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,37.800001
left_elbow_yaw,zero,0.000000000,0.000000,hand_right,0.138166656,-0.018910553,-0.037587813,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,37.800001
left_elbow_yaw,upper,0.293215320,16.800000,hand_right,0.138166656,-0.018910553,-0.037587813,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,37.800001
right_hip_roll,lower,-0.235619448,-13.500000,knee_pitch_right,-0.064996462,-0.010835545,-0.167206730,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,27.000000
right_hip_roll,zero,0.000000000,0.000000,knee_pitch_right,-0.064996462,-0.010835545,-0.167206730,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,27.000000
right_hip_roll,upper,0.235619448,13.500000,knee_pitch_right,-0.064996462,-0.010835545,-0.167206730,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,27.000000
left_hip_roll,lower,-0.235619448,-13.500000,knee_pitch_right_2,0.065023537,-0.010835553,-0.167206729,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,27.000000
left_hip_roll,zero,0.000000000,0.000000,knee_pitch_right_2,0.065023537,-0.010835553,-0.167206729,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,27.000000
left_hip_roll,upper,0.235619448,13.500000,knee_pitch_right_2,0.065023537,-0.010835553,-0.167206729,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,27.000000
right_knee_pitch,lower,0.000000000,0.000000,ankle_pitch_right,-0.046171448,-0.010835537,-0.209416731,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,47.719322
right_knee_pitch,zero,0.000000000,0.000000,ankle_pitch_right,-0.046171448,-0.010835537,-0.209416731,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,47.719322
right_knee_pitch,upper,0.832859280,47.719322,ankle_pitch_right,-0.046171448,-0.010835537,-0.209416731,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,47.719322
left_knee_pitch,lower,-0.832859280,-47.719322,ankle_pitch_left,0.046248522,-0.010835549,-0.213166730,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,47.719322
left_knee_pitch,zero,0.000000000,0.000000,ankle_pitch_left,0.046248522,-0.010835549,-0.213166730,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,47.719322
left_knee_pitch,upper,0.000000000,0.000000,ankle_pitch_left,0.046248522,-0.010835549,-0.213166730,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,47.719322
right_ankle_pitch,lower,0.000000000,0.000000,foot_right,-0.046171435,-0.010835525,-0.269636732,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,38.053524
right_ankle_pitch,zero,0.000000000,0.000000,foot_right,-0.046171435,-0.010835525,-0.269636732,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,38.053524
right_ankle_pitch,upper,0.664159280,38.053524,foot_right,-0.046171435,-0.010835525,-0.269636732,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,38.053524
left_ankle_pitch,lower,-0.664159280,-38.053524,foot_left,0.046698523,-0.010835544,-0.269636730,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,38.053524
left_ankle_pitch,zero,0.000000000,0.000000,foot_left,0.046698523,-0.010835544,-0.269636730,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,38.053524
left_ankle_pitch,upper,0.000000000,0.000000,foot_left,0.046698523,-0.010835544,-0.269636730,3.333e-16,reports/mujoco_round_v1_gate.json,PASS,38.053524
