joint,sample,commanded_angle_rad,commanded_abs_rotation_deg,housing_parent_link,output_child_link,housing_rotation_from_zero_deg,housing_translation_from_zero_mm,housing_to_output_rotation_deg,transmission_rotation_error_deg,shaft_origin_separation_mm,status
right_shoulder_pitch,lower,-0.471238890,26.999999539,Torso,shoulder_yaw_right,0.000000000,0.000000000,26.999999539,0.000000000,0.000000000,PASS
right_shoulder_pitch,zero,0.000000000,0.000000000,Torso,shoulder_yaw_right,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,PASS
right_shoulder_pitch,upper,0.471238890,26.999999539,Torso,shoulder_yaw_right,0.000000000,0.000000000,26.999999539,0.000000000,0.000000000,PASS
left_shoulder_pitch,lower,-0.471238890,26.999999539,Torso,shoulder_yaw_left,0.000000000,0.000000000,26.999999539,0.000000000,0.000000000,PASS
left_shoulder_pitch,zero,0.000000000,0.000000000,Torso,shoulder_yaw_left,0.000000000,0.000000000,0.000001207,0.000001207,0.000000000,PASS
left_shoulder_pitch,upper,0.471238890,26.999999539,Torso,shoulder_yaw_left,0.000000000,0.000000000,26.999999539,0.000000000,0.000000000,PASS
right_shoulder_yaw,lower,-0.471238890,26.999999539,shoulder_yaw_right,right_shoulder_yaw_motor,0.000000000,0.000000000,26.999999539,0.000000000,0.000000000,PASS
right_shoulder_yaw,zero,0.000000000,0.000000000,shoulder_yaw_right,right_shoulder_yaw_motor,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,PASS
right_shoulder_yaw,upper,0.141371667,8.099999862,shoulder_yaw_right,right_shoulder_yaw_motor,0.000000000,0.000000000,8.099999862,0.000000000,0.000000000,PASS
right_hip_pitch,lower,-0.412327408,23.624620256,Torso,hip_yaw_right,0.000000000,0.000000000,23.624620256,0.000000000,0.000000000,PASS
right_hip_pitch,zero,0.000000000,0.000000000,Torso,hip_yaw_right,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,PASS
right_hip_pitch,upper,0.027495556,1.575379314,Torso,hip_yaw_right,0.000000000,0.000000000,1.575379314,0.000000000,0.000000000,PASS
left_hip_pitch,lower,-0.027495556,1.575379314,Torso,hip_yaw_left,0.000000000,0.000000000,1.575379314,0.000000000,0.000000000,PASS
left_hip_pitch,zero,0.000000000,0.000000000,Torso,hip_yaw_left,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,PASS
left_hip_pitch,upper,0.412327408,23.624620256,Torso,hip_yaw_left,0.000000000,0.000000000,23.624620256,0.000000000,0.000000000,PASS
left_shoulder_yaw,lower,-0.141371667,8.099999862,shoulder_yaw_left,left_shoulder_yaw_motor,0.000001207,0.000000000,8.099999862,0.000000000,0.000000000,PASS
left_shoulder_yaw,zero,0.000000000,0.000000000,shoulder_yaw_left,left_shoulder_yaw_motor,0.000001207,0.000000000,0.000001708,0.000001708,0.000000000,PASS
left_shoulder_yaw,upper,0.471238890,26.999999539,shoulder_yaw_left,left_shoulder_yaw_motor,0.000001207,0.000000000,26.999999539,0.000000000,0.000000000,PASS
right_hip_yaw,lower,-0.026179939,1.500000013,hip_yaw_right,hip_roll_right,0.000000000,0.000000000,1.500000013,0.000000000,0.000000000,PASS
right_hip_yaw,zero,0.000000000,0.000000000,hip_yaw_right,hip_roll_right,0.000000000,0.000000000,0.000001207,0.000001207,0.000000000,PASS
right_hip_yaw,upper,0.322013241,18.449999657,hip_yaw_right,hip_roll_right,0.000000000,0.000000000,18.449999657,0.000000000,0.000000000,PASS
