target_name,downloaded_name,sha256,bytes,vertices,faces,body_count,watertight,winding_consistent,extent_x_m,extent_y_m,extent_z_m
Left_Hand.stl,Left_Hand.stl,4bfae2b11634144d16a9c298ab6c91d0d6f4ed4f6e1b2e2771718934a33eb429,81684,776,1632,1,false,true,0.025932103,0.105733847,0.048000000
Torso.stl,Torso.stl,5aeb3948cf9c588794e529315f328ae28152343a216890b927800b6ea4aa6ee2,953984,8269,19078,4,false,false,0.156300008,0.063331826,0.243755005
ankle_pitch_left.stl,ankle_pitch_left.stl,5e7200c973065b885cb15943c7e2d05617456a2ff4ea61f2dd744e4081cab306,212384,1861,4246,2,false,false,0.030719999,0.081301941,0.048049997
ankle_pitch_right.stl,ankle_pitch_right.stl,d8f9993ced11f81ced127f77e0f591ee0f81fbbba5e448b0d04d72674e0b50bb,209934,1814,4197,2,false,false,0.030719999,0.085051937,0.048049997
foot_left.stl,foot_left.stl,870d7d5db2d84fb05140c421fbf33e11e3975761961fafb07edfffd5a890ad79,73784,705,1474,1,false,true,0.099999998,0.036859999,0.052050001
foot_right.stl,foot_right.stl,caaf696f70fe86e0392067966b7cc1f1b44f9fed9a601488ffcf004705df037b,78984,755,1578,1,false,true,0.099999998,0.036859999,0.052050001
hand_right.stl,hand_right.stl,d6d9a92c0abd441e9aab4618572b7f5aeaca3551082482e188e5a0f6cd567ed4,81484,775,1628,1,false,true,0.025931880,0.105725905,0.048000000
hip_roll_left.stl,hip_roll_left.stl,cbf6c0d4dbec27db55eb29c7248f09eaf92300f42f4187a70dcc65e54611e570,209634,1851,4191,1,false,false,0.030719999,0.083784065,0.058109999
hip_roll_right.stl,hip_roll_right.stl,8b4c4d41d57204b254781dbddc56053988783ba597932e4f66dee9cb26864099,207084,1843,4140,1,false,false,0.030719999,0.083784065,0.058109999
hip_yaw_left.stl,hip_yaw_left.stl,df6c7bac1e9fe95ac3f5a9b8e8b563fc791f077441ad3fbbe77d9074db2a7a61,199034,1701,3979,2,false,false,0.041033330,0.050719993,0.076570000
hip_yaw_right.stl,hip_yaw_right.stl,00cc0c65ac1ba1238b43e8ec80ba041147ecf718a3c9033fd3e2ff64098e7670,198284,1728,3964,1,false,false,0.041033330,0.050719993,0.076570000
knee_pitch_right.stl,knee_pitch_right.stl,5bc816ac61e2d5bf357fd237e220c879c520d4b99371b51a041a5dd66d1a1662,214984,1880,4298,1,false,false,0.041000005,0.034469999,0.094369996
knee_pitch_right_2.stl,knee_pitch_right_2.stl,a23fe1c08fe4298c2ffa44a8bd209f9e9e879c5776d3c5ee013b1a01f074046e,211784,1902,4234,1,false,false,0.041000005,0.034469999,0.098119996
left_shoulder_yaw_motor.stl,left_shoulder_yaw_motor.stl,1fd85e3587ee3c6dbe71ba11de471c9c7ee14aae7f36e29190675fe305a7d1cb,286284,2423,5724,1,false,false,0.058052096,0.090259500,0.040999998
right_shoulder_yaw_motor.stl,right_shoulder_yaw_motor.stl,879d479d003c9877b389c775b416eecaa8f968594343c9dfb1c026efc02a44ea,280634,2324,5611,2,false,false,0.058021285,0.090236193,0.040999998
shoulder_yaw_left.stl,shoulder_yaw_left.stl,fc21d81f5ea399e1d2ce727c599f5372ec721769aa0fe01b9c22a467238800b5,120834,1148,2415,1,false,false,0.056249999,0.047777489,0.047182460
shoulder_yaw_right.stl,shoulder_yaw_right.stl,541560e086b158d6b76f6bab8f8aae2eca6bcf9de31a76c8f848edcc5c7065a5,121884,1156,2436,1,false,true,0.056249999,0.047777489,0.047236354
