joint,parent,child,phase_deg,output_axis_sign,median_surface_distance_mm,p90_surface_distance_mm,match_lt_1mm_pct,match_lt_3mm_pct,within_parent_child_bbox_plus_4mm_pct,score,next_best_score_margin,confidence
right_shoulder_pitch,Torso,shoulder_yaw_right,155,-1,3.976387,7.756140,5.340,33.940,99.880,5.939422,0.039464,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
left_shoulder_pitch,Torso,shoulder_yaw_left,160,1,4.012148,7.866540,4.800,32.580,100.000,5.978783,0.022451,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
right_shoulder_yaw,shoulder_yaw_right,right_shoulder_yaw_motor,95,-1,3.655608,9.429824,5.800,41.600,100.000,6.013064,0.205778,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
right_hip_pitch,Torso,hip_yaw_right,265,1,3.517944,7.433286,4.200,39.760,100.000,5.376265,0.013811,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
left_hip_pitch,Torso,hip_yaw_left,265,-1,3.469040,7.567182,3.920,41.100,100.000,5.360836,0.025562,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
left_shoulder_yaw,shoulder_yaw_left,left_shoulder_yaw_motor,275,1,3.681588,9.348812,5.500,42.220,100.000,6.018791,0.180766,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
right_hip_yaw,hip_yaw_right,hip_roll_right,75,1,4.289858,9.557822,1.780,28.100,80.900,10.499314,0.161358,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
left_hip_yaw,hip_yaw_left,hip_roll_left,255,-1,4.298255,9.554478,1.820,30.360,80.900,10.506875,0.127136,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
right_elbow_yaw,right_shoulder_yaw_motor,Left_Hand,245,-1,3.659712,10.085685,4.080,40.800,85.520,9.077133,0.057572,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
left_elbow_yaw,left_shoulder_yaw_motor,hand_right,245,-1,3.656630,10.115693,4.500,40.060,85.520,9.081553,0.062910,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
right_hip_roll,hip_roll_right,knee_pitch_right,255,1,3.836419,8.785857,3.200,32.460,97.920,6.448883,0.023315,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
left_hip_roll,hip_roll_left,knee_pitch_right_2,255,1,3.786118,8.806476,3.200,34.200,97.920,6.403737,0.022166,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
right_knee_pitch,knee_pitch_right,ankle_pitch_right,255,1,4.389126,9.091236,1.640,24.760,78.840,10.893935,0.226336,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
left_knee_pitch,knee_pitch_right_2,ankle_pitch_left,255,-1,4.556351,9.085277,2.280,24.700,78.780,11.071670,0.051587,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
right_ankle_pitch,ankle_pitch_right,foot_right,255,-1,4.411419,9.425292,1.500,27.640,96.620,7.443742,0.038345,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
left_ankle_pitch,ankle_pitch_left,foot_left,255,1,4.048063,9.465345,3.200,35.680,96.580,7.098399,0.047714,LOW_REQUIRES_HARDWARE_OR_SOURCE_CAD_CONFIRMATION
