joint,neutral_gravity_torque_nm,official_standing_gravity_torque_nm,random_static_abs_p50_nm,random_static_abs_p95_nm,random_static_abs_p99_nm,random_static_abs_max_nm,baseline_random_static_abs_max_nm,round_minus_baseline_max_nm,max_over_conservative_80pct_rated,max_over_manufacturer_rated,max_over_legacy_sim_limit,static_gravity_rated_gate,walking_dynamic_gate
right_shoulder_pitch,-0.001602254,-0.001602254,0.036517173,0.070709706,0.077370189,0.083850124,0.083850124,0.000000000,0.066799477,0.053439582,0.041925062,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
right_shoulder_yaw,-0.060915618,-0.060915618,0.079736104,0.109768491,0.115293854,0.120206125,0.120206125,0.000000000,0.095762605,0.076610084,0.060103063,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
right_elbow_yaw,0.013632151,0.013632151,0.018915463,0.028587732,0.030489051,0.032242839,0.032242839,0.000000000,0.025686364,0.020549091,0.016121419,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
left_shoulder_pitch,0.001602008,0.001602008,0.036532269,0.070651786,0.077265877,0.083759317,0.083759317,0.000000000,0.066727135,0.053381708,0.041879658,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
left_shoulder_yaw,0.060914975,0.060914975,0.079543829,0.109673004,0.115167061,0.120250688,0.120250688,0.000000000,0.095798107,0.076638485,0.060125344,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
left_elbow_yaw,-0.013631942,-0.013631942,0.018834628,0.028536506,0.030484597,0.032262479,0.032262479,0.000000000,0.025702010,0.020561608,0.016131240,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
right_hip_pitch,-0.054991716,-0.259355099,0.211161976,0.308074321,0.324737555,0.339868677,0.224605776,0.115262901,0.270757500,0.216606000,0.169934338,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
right_hip_yaw,-0.002098416,-0.002043152,0.071592443,0.151129755,0.164150654,0.177477880,0.122639405,0.054838475,0.141388337,0.113110670,0.088738940,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
right_hip_roll,0.000000001,-0.000465390,0.009276226,0.028236419,0.034050681,0.043427595,0.022111380,0.021316215,0.034596737,0.027677389,0.021713798,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
right_knee_pitch,0.011551908,0.126046422,0.094828128,0.129717806,0.135269410,0.141623511,0.071534793,0.070088717,0.112824836,0.090259869,0.070811755,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
right_ankle_pitch,0.011551364,0.028199245,0.027834256,0.029406984,0.029514124,0.029536121,0.007158926,0.022377195,0.023530048,0.018824039,0.014768061,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
left_hip_pitch,0.054990287,0.255863840,0.209138057,0.306382366,0.322745455,0.337401050,0.223781814,0.113619236,0.268791657,0.215033326,0.168700525,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
left_hip_yaw,-0.000499860,-0.000486695,0.074972194,0.155061905,0.167597649,0.182449416,0.126436037,0.056013379,0.145348927,0.116279142,0.091224708,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
left_hip_roll,-0.000000000,-0.000126960,0.008503138,0.026596135,0.032212542,0.041669503,0.020842488,0.020827014,0.033196146,0.026556917,0.020834751,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
left_knee_pitch,-0.011549043,-0.119951584,0.090406627,0.123394830,0.128645767,0.134657463,0.067654346,0.067003117,0.107275312,0.085820249,0.067328732,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
left_ankle_pitch,-0.011551366,-0.028199244,0.027831041,0.029405675,0.029512838,0.029536094,0.007158925,0.022377169,0.023530026,0.018824021,0.014768047,PASS,UNVERIFIED_REQUIRES_TRAINED_POLICY_TORQUE_SPEED_THERMAL_ROLLOUT
