component_id,role,owner_link,native_part,transform_error,status
CARRIER_Z_BOT2_MASTER_BODY_SKELETON,source_load_bearing_carrier,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_BODY_ORIGINAL_HEAD_INTERFACE_TRIMMED_2P5MM.SLDPRT,0.0,PASS
CARRIER_Z_BOT2_MASTER_SHOULDER2,source_load_bearing_carrier,Z_BOT2_MASTER_SHOULDER2,V4_REUSED_ZEROTH01_PHYSICAL_MOUNT_V1_Z_BOT2_MASTER_SHOULDER2_CARRIER.SLDPRT,0.0,PASS
CARRIER_Z_BOT2_MASTER_SHOULDER2_2,source_load_bearing_carrier,Z_BOT2_MASTER_SHOULDER2_2,V4_REUSED_ZEROTH01_PHYSICAL_MOUNT_V1_Z_BOT2_MASTER_SHOULDER2_2_CARRIER.SLDPRT,0.0,PASS
CARRIER_3215_1Flange,source_load_bearing_carrier,3215_1Flange,V4_REUSED_ZEROTH01_PHYSICAL_MOUNT_V1_3215_1FLANGE_CARRIER.SLDPRT,1.734723475976807e-18,PASS
CARRIER_3215_1Flange_2,source_load_bearing_carrier,3215_1Flange_2,V4_REUSED_ZEROTH01_PHYSICAL_MOUNT_V1_3215_1FLANGE_2_CARRIER.SLDPRT,2.220446049250313e-16,PASS
CARRIER_R_ARM_MIRROR_1,source_load_bearing_carrier,R_ARM_MIRROR_1,V4_REUSED_ZEROTH01_V2_MINIMAL_R_ARM_MIRROR_1_WRIST_TRIMMED.SLDPRT,1.3877787807814457e-17,PASS
CARRIER_L_ARM_MIRROR_1,source_load_bearing_carrier,L_ARM_MIRROR_1,V4_REUSED_ZEROTH01_V2_MINIMAL_L_ARM_MIRROR_1_WRIST_TRIMMED.SLDPRT,0.0,PASS
CARRIER_U_HIP_L,source_load_bearing_carrier,U_HIP_L,V4_REUSED_ZEROTH01_PHYSICAL_MOUNT_V1_U_HIP_L_CARRIER.SLDPRT,0.0,PASS
CARRIER_U_HIP_R,source_load_bearing_carrier,U_HIP_R,V4_REUSED_ZEROTH01_PHYSICAL_MOUNT_V1_U_HIP_R_CARRIER.SLDPRT,8.673617379884035e-19,PASS
CARRIER_3215_BothFlange_5,source_load_bearing_carrier,3215_BothFlange_5,V4_REUSED_ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_5_CARRIER.SLDPRT,0.0,PASS
CARRIER_3215_BothFlange_6,source_load_bearing_carrier,3215_BothFlange_6,V4_REUSED_ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_6_CARRIER.SLDPRT,0.0,PASS
CARRIER_3215_BothFlange_9,source_load_bearing_carrier,3215_BothFlange_9,V4_REUSED_ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_9_CARRIER.SLDPRT,2.220446049250313e-16,PASS
CARRIER_3215_BothFlange_10,source_load_bearing_carrier,3215_BothFlange_10,V4_REUSED_ZEROTH01_PHYSICAL_MOUNT_V1_3215_BOTHFLANGE_10_CARRIER.SLDPRT,3.469446951953614e-18,PASS
CARRIER_3215_BothFlange_13,source_load_bearing_carrier,3215_BothFlange_13,ZEROTH01_V4_LEFT_SOURCE_SHIN_SHORTENED_18MM.SLDPRT,2.220446049250313e-16,PASS
CARRIER_3215_BothFlange_14,source_load_bearing_carrier,3215_BothFlange_14,ZEROTH01_V4_RIGHT_SOURCE_SHIN_SHORTENED_18MM.SLDPRT,0.0,PASS
CARRIER_FOOT,source_load_bearing_carrier,FOOT,V4_REUSED_ZEROTH01_PHYSICAL_MOUNT_V1_FOOT_CARRIER.SLDPRT,2.220446049250313e-16,PASS
CARRIER_FOOT_2,source_load_bearing_carrier,FOOT_2,V4_REUSED_ZEROTH01_PHYSICAL_MOUNT_V1_FOOT_2_CARRIER.SLDPRT,3.469446951953614e-18,PASS
V4_HEAD_FRONT,printable_head_front_shell,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_HEAD_FRONT_5MM_EACH_SIDE.SLDPRT,0.0,PASS
V4_HEAD_REAR,printable_head_rear_shell,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_HEAD_REAR_5MM_EACH_SIDE.SLDPRT,0.0,PASS
V4_HEAD_VISOR,simple_camera_microphone_visor,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_HEAD_SIMPLE_VISOR.SLDPRT,0.0,PASS
V4_UNITV2,internal_payload_controlled_envelope,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_M5STACK_UNITV2_PURCHASED_ENVELOPE.SLDPRT,0.0,PASS
V4_UNITV2_CRADLE,internal_payload_controlled_envelope,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_UNITV2_REMOVABLE_CRADLE.SLDPRT,0.0,PASS
V4_HEAD_TORSO_NUT_PLATE,internal_payload_controlled_envelope,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_DIRECT_HEAD_TORSO_NUT_PLATE.SLDPRT,0.0,PASS
S06_STS3250_left_shoulder_yaw,purchased_exact_sts3250,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,6.938893903907228e-18,PASS
S06_PCD14_OUTPUT_BRIDGE_left_shoulder_yaw,sts3250_pcd14_output_bridge_to_child,Z_BOT2_MASTER_SHOULDER2,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
S03_STS3250_right_shoulder_yaw,purchased_exact_sts3250,Z_BOT2_MASTER_BODY_SKELETON,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,6.938893903907228e-18,PASS
S03_PCD14_OUTPUT_BRIDGE_right_shoulder_yaw,sts3250_pcd14_output_bridge_to_child,Z_BOT2_MASTER_SHOULDER2_2,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
S02_STS3250_left_shoulder_pitch,purchased_exact_sts3250,3215_1Flange,ZEROTH01_V4_STS3250_STEP_PARTS_EXACT_SHAFT_FRAME.SLDPRT,1.734723475976807e-18,PASS
S02_PCD14_OUTPUT_BRIDGE_left_shoulder_pitch,sts3250_pcd14_output_bridge_to_child,Z_BOT2_MASTER_SHOULDER2,ZEROTH01_V4_STS3250_PCD14_OUTPUT_BRIDGE_2P05MM.SLDPRT,0.0,PASS
